"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
5.98218e-05	0.054611	-0.087472	-0.000375882	0.000507247	-0.000361989	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	0.0091497954	0.0034657953	-0.0048261924	0.0349988796	0.0072083986	0.0187223213	-0.0214814842	-0.0032487412	0.042711394	0	0	0	0	0	0
-0.0267194	0.0625893	-0.0487077	-0.000252051	0.000681858	-0.000362397	-0.0267792218	0.0079783	0.0387643	0.000123831	0.000174611	-4.07999999999973e-07	0.0884643218	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0007236524	0.0341330417	0.004404435	-0.0216020315	0.0223202696	0.0359832266	-0.083401646	0.0091488955	0.0430091288	0	0	0	0	0	0
-0.0179788	0.0626022	-0.0397258	-0.000402782	0.000540206	-0.000323748	0.0087406	1.28999999999962e-05	0.00898189999999999	-0.000150731	-0.000141652	3.8649e-05	0.034287	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0026419091	-9.78645e-05	0.0099486122	-0.0547457324	0.0175757643	0.0069860909	-0.0797782655	0.0424278773	0.0476701754	0	0	0	0	0	0
-0.0182365	0.0626007	-0.0665375	-0.000402782	0.000717715	-0.000257452	-0.0002577	-1.5000000000015e-06	-0.0268117	0	0.000177509	6.6296e-05	0.03926115	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0098075057	-0.0032760605	-0.0006405586	-0.0460605898	0.0235148362	0.0152540693	-0.069041236	-0.0010085194	0.0787276311	0	0	0	0	0	0
3.25744e-05	0.0230656	-0.0471271	5.45217e-06	0.000395903	-0.00036911	0.0182690744	-0.0395351	0.0194104	0.00040823417	-0.000321812	-0.000111658	0.1192997829	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0003116539	0.0086038024	0.0093212892	-0.0409007394	0.007414344	0.0087798466	-0.0695321068	0.027635926	0.0446471946	0	0	0	0	0	0
-0.0167223	0.0739543	-0.0328391	-0.000103912	0.00056941	-0.000119824	-0.0167548744	0.0508887	0.014288	-0.00010936417	0.000173507	0.000249286	0.1085394329	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0041672285	0.0365807749	-0.0049857248	-0.033809714	0.0089456424	-0.0104463873	-0.0560499395	0.0320227671	-0.0006949165	0	0	0	0	0	0
-0.0202277	0.110671	-0.045848	-0.000402782	0.000508858	-6.46537e-05	-0.00350540000000001	0.0367167	-0.0130089	-0.00029887	-6.0552e-05	5.51703e-05	0.073960615	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0016415988	0.0197365835	-0.0163666042	0.0074042522	-0.0050628341	0.0108407771	-0.0270223074	0.0304563861	-0.0236432168	0	0	0	0	0	0
-0.0172943	0.0498088	-0.0300469	0.000171732	0.000466753	-3.03225e-05	0.0029334	-0.0608622	0.0158011	0.000574514	-4.2105e-05	3.43312e-05	0.11214421	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0029934221	0.0017196279	0.006661535	0.0696597388	-0.0135016435	0.0278727954	0.0371767554	-0.0300552935	-0.0050452366	0	0	0	0	0	0
-0.0164996	0.0525388	-0.0184543	0.000167043	0.000512246	-0.000118306	0.000794699999999999	0.00273	0.0115926	-4.68900000000002e-06	4.54929999999999e-05	-8.79835e-05	0.022025575	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0031268464	-0.023129213	0.0230656723	0.0569570875	0.00447174	0.0202070569	0.0443309562	-0.0436977416	-0.0052512926	0	0	0	0	0	0
-0.0249196	0.0997954	-0.0300849	0.000146835	0.00054362	-0.000293017	-0.00842	0.0472566	-0.0116306	-2.0208e-05	3.1374e-05	-0.000174711	0.07862185	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0099078021	-0.0709228506	0.0317570149	0.0469209858	0.0042394469	0.0257974928	0.0407664229	-0.045522819	0.0081552584	0	0	0	0	0	0
-0.0175244	0.0749082	-0.0300602	-0.000167434	0.000644926	-0.000334638	0.0073952	-0.0248872	2.46999999999956e-05	-0.000314269	0.000101306	-4.1621e-05	0.0551669	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0056346583	-0.0444122293	0.0176860728	-0.0107154365	0.0021398729	-0.0303019554	0.0223864977	-0.0505729051	0.0302344816	0	0	0	0	0	0
-0.0120614	0.0749242	-0.0419304	-0.00012953	0.000671832	9.80667e-05	0.005463	1.59999999999744e-05	-0.0118702	3.7904e-05	2.69059999999999e-05	0.0004327047	0.042224935	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0035267387	-0.0087819346	-0.0170246416	-0.0431881415	-0.0136048241	-0.0505000931	0.0095694305	0.0088199957	-0.0303433986	0	0	0	0	0	0
6.74127e-05	0.077002	-0.0300448	-0.000177108	0.000783809	9.80666e-05	0.0121288127	0.00207780000000003	0.0118856	-4.7578e-05	0.000111977	-1.00000000006996e-10	0.0340699677	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0024171159	0.0186890764	-0.0210768462	-0.0391631376	-0.003564077	-0.0662375259	0.0041253776	0.0248069539	-0.0465515425	0	0	0	0	0	0
5.23291e-05	0.074913	-0.0185189	-5.72962e-05	0.000613808	3.27331e-06	-1.50836e-05	-0.00208900000000001	0.0115259	0.0001198118	-0.000170001	-9.479329e-05	0.0328602881	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0010524825	0.012287183	-0.0002756773	-0.0385932335	0.0049461079	-0.0255600883	-0.0087961007	0.0093702035	-0.0106474228	0	0	0	0	0	0
5.41655e-05	0.0749116	-0.00173874	0.000146835	0.000559421	9.80667e-05	1.8364e-06	-1.4000000000125e-06	0.01678016	0.0002041312	-5.4387e-05	9.479339e-05	0.0344489759	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	-0.0053323037	0.031374158	-0.0041318394	-0.0219368093	0.0092580764	-0.0008828569	-0.0165197252	0.0296530151	-0.0358358415	0	0	0	0	0	0
5.30774e-05	0.102908	-0.00846646	0.000218826	0.000764701	9.80667e-05	-1.0881e-06	0.0279964	-0.00672772	7.1991e-05	0.00020528	0	0.0485887581	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	-0.0006155146	0.0279397019	-0.0018646653	0.0061665796	0.0144424144	0.0428624739	-1.70129e-05	0.0213655708	-0.025694101	0	0	0	0	0	0
5.4132e-05	0.086906	-0.00880829	0.000429092	0.000428419	9.80667e-05	1.05459999999999e-06	-0.016002	-0.00034183	0.000210266	-0.000336282	0	0.0436722846	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-0.0014847158	0.0266426807	-0.0066461415	0.0403100519	0.0096325531	0.0695620104	0.0151559627	0.0234647419	-0.0269130626	0	0	0	0	0	0
5.12692e-05	0.102907	0.00572749	0.000415637	0.000709452	9.80666e-05	-2.8628e-06	0.016001	0.01453578	-1.3455e-05	0.000281033	-1.00000000006996e-10	0.0452640478	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0046030096	0.0312255199	0.0072128709	0.0568767442	-0.0029860163	0.0567294905	0.0396738926	0.0075203086	-0.0139968502	0	0	0	0	0	0
5.03633e-05	0.148061	-0.0300001	-0.000361348	0	9.80666e-05	-9.05900000000001e-07	0.045154	-0.03572759	-0.000776985	-0.000709452	0	0.1552043459	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0075590504	-0.0278111252	0.0061451514	0.0651335656	-0.0043423447	0.0188694259	0.0536619365	-0.0468529002	0.0098799297	0	0	0	0	0	0
-0.0177018	0.154973	-0.0776748	-0.000666452	0	9.80666e-05	-0.0177521633	0.006912	-0.0476747	-0.000305104	0	0	0.0875940633	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0271928678	-0.0587901754	-0.0196549538	0.0198919789	0.0088885204	-0.0128648479	0.0646519605	-0.063158168	0.0542050481	0	0	0	0	0	0
