"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0270971	-0.028275	7.21962e-05	0.000650645	-0.00063188	0.00144553	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.004676705	-0.0090589852	-0.0013189418	0.0269158768	0.044988652	-0.0145278738	-0.0051260914	-0.0291784636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000272879	-0.0282787	7.21531e-05	0.000650645	-0.00063188	0.000625025	-0.026824221	-3.70000000000231e-06	-4.30999999999929e-08	0	0	-0.000820505	0.0678532141	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0015852979	0.0045059438	0.0021787893	0.0234464255	0.0015275612	-0.0294708531	-0.0230979733	-0.0331250328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000271683	-0.00538381	1.94584e-05	-0.000151078	-0.000682289	0.000625025	-1.19600000000002e-06	0.02289489	-5.26947e-05	-0.000801723	-5.0409e-05	0	0.0655553807	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0011117521	-0.0060616118	0.0065827904	-0.0012925056	-0.0024646368	-0.010306615	-0.0021408848	-0.0042190537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0124562	-0.0247745	-0.00597175	-0.000382617	-0.000461979	0.000970737	0.012184517	-0.01939069	-0.0059912084	-0.000231539	0.00022031	0.000345712	0.0774444654	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0038457767	-0.0015933477	0.0098880566	0.0042481578	0.0087467319	-0.0120951022	-0.0075286107	-0.0210088324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202216	-0.0282727	-0.0113808	7.47729e-05	-0.000781211	0.00091451	0.0077654	-0.0034982	-0.00540905	0.0004573899	-0.000319232	-5.62269999999997e-05	0.058315095	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0013795535	-0.0036924809	0.0128502596	0.0005158919	0.0041768497	-0.0082231509	-0.001704876	0.0037060073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202612	-0.0151228	6.76406e-05	0.000311297	-0.000168239	0.000625025	3.96000000000007e-05	0.0131499	0.0114484406	0.0002365241	0.000612972	-0.000289485	0.0815869956	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0010633417	0.0043132614	0.0256505412	0.02131361	0.0373546184	-0.0065445062	-0.0354888872	0.0128965975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202682	-0.0089536	5.28756e-05	-4.12041e-05	1.45397e-05	0.000625025	7.00000000000006e-06	0.0061692	-1.4765e-05	-0.0003525011	0.0001827787	0	0.032954955	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0003664322	-0.0040361024	0.0091697314	-0.0050888689	-0.0112271863	0.0205670888	-0.0013209444	0.0198317819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202618	-0.0100675	0.00800029	0.000342597	-0.000216054	0.000625025	-6.40000000000016e-06	-0.0011139	0.0079474144	0.0003838011	-0.0002305937	0	0.0397874544	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0018725632	-0.0010428873	0.0035528334	0.0104558994	0.0175814398	0.0190013417	-0.0152324368	-0.0179777419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0202944	-0.0282698	-0.00492835	0.000342597	0.000220416	0.000625025	3.26000000000007e-05	-0.0182023	-0.01292864	0	0.00043647	0	0.05298704	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0056288524	-0.0096491016	-0.0109495246	-0.0138873494	0.0002133614	0.0171639368	0.0111130696	0.0218001922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0146565	-0.0114305	-0.00394582	-1.72157e-05	-0.000105	0.000724605	-0.0056379	0.0168393	0.00098253	-0.0003598127	-0.000325416	9.958e-05	0.062700165	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0009124135	-6.18737e-05	0.0005196312	0.0104354677	0.0126256551	0.0148234503	-0.0221420051	0.002560752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
