"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0749352	-0.0349965	-7.86907e-06	-0.0020249	-0.000243538	-0.0033577	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0064880864	0.0095272632	-0.0021158783	0.0380146105	0.0187573617	-0.0193974476	-0.0298630042	0.014149589	-0.025164659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0478016	-0.00710659	0.0269547	-0.000897532	-0.00031982	-0.0026966	0.0271336	0.02788991	0.02696256907	0.001127368	-7.6282e-05	0.0006611	0.17522357907	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0009086095	0.0146443306	0.0188037291	0.0510764239	5.05678e-05	0.0039271339	-0.0143843725	-0.0082906863	0.0141843266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0432689	-0.0720919	0.0267919	-0.00205274	-0.000385238	-0.00224772	0.0045327	-0.06498531	-0.000162799999999998	-0.001155208	-6.5418e-05	0.00044888	0.15315611	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0039940061	0.0069470549	-0.0013342777	-9.4567e-05	-0.0042662778	-0.0015722605	0.0219225116	0.0109715469	-0.0536773286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0462636	-0.0409624	0.00801701	-0.0018008	-0.000473196	-0.00265516	-0.0029947	0.0311295	-0.01877489	0.00025194	-8.7958e-05	-0.00040744	0.09026599	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0004814886	0.0050341726	0.0135973276	0.002435497	-0.001607648	0.0041647077	-0.0107626551	-0.0067866082	0.0190506025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.060593	-0.0138911	0.00969109	-0.00172381	2.6178e-05	-0.00265516	-0.0143294	0.0270713	0.00167408	7.69899999999999e-05	0.000499374	0	0.07189298	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.009080044	0.0104118571	-0.003267807	0.034188967	0.0024020484	6.65186e-05	-0.0040443376	0.0068273848	-0.0167003094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0678457	-0.0480496	0.0125616	-0.00142011	-0.000618235	-0.00238706	-0.0072527	-0.0341585	0.00287051	0.0003037	-0.000644413	0.0002681	0.10509236	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0037442175	0.001418902	0.0061493757	-0.0004269637	0.0031257078	0.0013247193	0.0122029555	-0.008632286	0.003168154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0511985	-0.0675739	0.0233326	-0.0026625	-0.000351862	-0.00225444	0.0166472	-0.0195243	0.010771	-0.00124239	0.000266373	0.00013262	0.12901165	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0033087752	-0.0017864369	-0.0006654784	-0.0343591254	-0.0069825981	0.0097434488	0.0081541417	-0.0029161401	0.0381153903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.033445	0.00722571	-0.141958	0.00481162	0.000334439	-0.000162702	0.0177535	0.07479961	-0.1652906	0.00747412	0.000686301	0.002091738	0.77045166	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0061011024	-0.0255306175	-0.0801435805	-0.0118896839	0.0034744763	0.0123924257	-0.0222698478	-0.0221315858	0.0287049217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0313582	0.0327844	-0.0969977	0.00332163	5.6339e-05	0.000603086	0.0648032	0.02555869	0.0449603	-0.00148999	-0.0002781	0.000765788	0.26201609	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0018430521	-0.0255550297	-0.0489195315	0.0126161729	-0.0107417094	0.0053662547	0.012519117	-0.0070309208	0.0004854398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0313558	-0.0291198	-0.0576953	0.00154916	-8.95239e-05	0.000603086	-2.40000000000656e-06	-0.0619042	0.0393024	-0.00177247	-0.0001458629	0	0.197125645	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0034061433	-0.0241515091	-0.0215518885	0.0187122301	0.002894132	-0.0052528831	-0.0096209838	-0.0139823296	0.0179535619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
