"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0169974	0.041883	0.0400576	-0.00293519	-0.000502734	-0.000849453	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	0.0265533493	-0.0596532391	0.0554174107	-0.0250869069	0.0662928208	-0.0645302319	-0.1144752948	-0.0149514952	0.051390808	0.0411491114	0	0	0	0
-0.0169974	0.038041	0.0503649	-0.00277225	-0.000502734	-0.000849453	0	-0.00384199999999999	0.0103073	0.00016294	0	0	0.0222963	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0501770544	-0.0666394507	0.0114839352	-0.0019480635	-0.0041453773	-0.0094099444	-0.0352175153	-0.0269965073	0.0461185229	-0.0496075688	0	0	0	0
-0.0169974	0.0240232	0.0294024	-0.00281455	-0.000502734	-0.000849453	0	-0.0140178	-0.0209625	-4.22999999999999e-05	0	0	0.0370953	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0590539877	-0.0348526025	-0.0317353456	-0.0089411715	0.0013520152	-0.0101426901	-0.0020035179	0.0158403854	0.0179693553	0.012340696	0	0	0	0
-0.0290591	0.05325	0.0463869	-0.00293407	-0.000502734	-0.000904279	-0.0120617	0.0292268	0.0169845	-0.00011952	0	-5.48259999999999e-05	0.0669903	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0507011155	-0.0018448245	-0.0181534474	-0.0266250036	0.0404262753	-0.0291740072	0.0131429184	-0.0068773115	-0.0028714057	-0.0328375731	0	0	0	0
-0.0317879	0.0192435	0.0438575	-0.00268948	-0.000502734	-0.000849453	-0.0027288	-0.0340065	-0.0025294	0.00024459	0	5.48259999999999e-05	0.0542355	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0586528214	0.0236254859	-0.0432480603	-0.0390250213	0.0608227647	-0.0473959596	0.0032950949	-0.0245834772	0.0202524095	0.0337270908	0	0	0	0
-0.0350926	0.0354416	0.0407751	-0.00263762	-0.000502734	-0.000849453	-0.0033047	0.0161981	-0.00308240000000001	5.18600000000004e-05	0	0	0.0251782	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0443091555	0.0022854641	-0.0023856073	-0.0254796273	0.083824486	-0.0060287998	-0.0278647859	0.0014984308	-0.0036152962	-0.0122856203	0	0	0	0
-0.0291579	0.0192334	0.0395668	-0.00256291	-0.000502734	-0.000849453	0.0059347	-0.0162082	-0.0012083	7.471e-05	0	0	0.0270867	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.013856506	-0.055510204	-0.0004093052	-0.0174653689	0.0426893121	0.0214106704	-0.0217432863	0.040676399	-0.0048048941	-0.0151697911	0	0	0	0
-0.02041	0.0722085	0.0663343	-0.00228126	-0.000502734	-0.000849453	0.0087479	0.0529751	0.0267675	0.00028165	0	0	0.102573	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0391309501	-0.0225275219	-0.0001013088	-0.0074154575	-0.0203329767	0.0230248645	0.0127733691	-0.0015884704	0.0133935072	-0.0121325017	0	0	0	0
-0.0169968	-0.0329982	0.0255376	-0.0016261	-0.000450335	-0.000849452	0.0034132	-0.1052067	-0.0407967	0.00065516	5.2399e-05	1.00000000001575e-09	0.1847946	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0364865	-0.0042819065	-0.0407908986	0.0081843928	-0.0209518675	0.0790647329	-0.0201905271	-0.034748211	0.0387571731	0.0212904097	0	0	0	0
-0.0169974	0.0297587	0.0302472	-0.00171924	-0.000502734	-0.000849452	-6.00000000003376e-07	0.0627569	0.0047096	-9.31400000000004e-05	-5.2399e-05	0	0.07474405	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0424529162	0.0786395297	-0.0082177948	-0.0159682678	0.0284067781	0.0268322379	0.0762336868	-0.0283859991	0.0040574504	0.0234339193	0	0	0	0
