"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0216703	-0.0375455	0.0200407	0.00103669	-0.000658309	-0.00174817	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0025038116	-0.0160787592	-0.0048919826	0.0488586675	-0.005215388	0.0312877037	-0.054433971	-0.0542111401	-0.0126841723	0.0080331478	0	0	0	0	0
-0.0294603	-0.0536597	0.0192931	0.0010926	-0.000534795	-0.00147066	-0.00779	-0.0161142	-0.000747600000000005	5.59100000000002e-05	0.000123514	0.00027751	0.0474985	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0092426504	0.0063451757	-0.0183010586	-0.0015740557	0.045669927	0.0105016641	-0.0172070676	0.00895202	0.0591704019	0.0265395634	0	0	0	0	0
-0.0188733	-0.0288439	0.0571669	0.000915241	-0.000952002	-0.00107845	0.010587	0.0248158	0.0378738	-0.000177359	-0.000417207	0.00039221	0.1226154	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0003834164	0.0091741452	-0.034252838	0.0084644836	0.0146931584	-0.007290981	0.0241900918	-0.0213179685	-0.0491893481	0.0245473897	0	0	0	0	0
-0.018878	-0.0399524	0.0368332	0.000900971	-0.000497568	-0.00107845	-4.69999999999984e-06	-0.0111085	-0.0203337	-1.42699999999999e-05	0.000454434	0	0.0548821	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0067435092	0.0094041349	-0.0491957279	0.0390579496	0.003536765	-0.0059613443	0.032161118	-0.0235794664	-0.0167787091	0.0397840359	0	0	0	0	0
-0.0261417	-0.0334522	0.00392446	0.00117311	-0.000431207	-0.00107845	-0.0072637	0.0065002	-0.03290874	0.000272139000000001	6.6361e-05	0	0.06359764	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0038074022	0.0173344886	-0.0419103319	-0.0218880953	0.0340809904	-0.0083057706	0.027907081	0.024401588	0.0250884339	-0.0535118452	0	0	0	0	0
-0.025738	-0.0242039	0.0236157	0.000256386	-0.000491081	-0.00152353	0.000403700000000003	0.0092483	0.01969124	-0.000916724000000001	-5.9874e-05	-0.00044508	0.10042714	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0051730869	-0.0048119309	-0.0143924415	-0.0028118542	0.0185175272	-0.0005865251	-0.0122053922	-0.0259267369	0.0561827669	0.0113967564	0	0	0	0	0
-0.0447383	-0.0536346	0.011382	0.000974445	-0.000226525	-0.00123597	-0.0190003	-0.0294307	-0.0122337	0.000718059	0.000264556	0.00028756	0.12417345	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0061517222	-0.0054748139	-0.0048966209	0.0054767348	-0.0017537447	-0.000338209	0.001483004	-0.0106072114	-0.0324259725	0.010375838	0	0	0	0	0
-0.0447267	-0.021336	0.0306242	0.000795205	-0.000506182	-0.00136869	1.16000000000005e-05	0.0322986	0.0192422	-0.00017924	-0.000279657	-0.00013272	0.08113325	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0048315853	0.0021115876	-0.0159715944	0.0504540447	0.0215708938	0.0041733531	-0.0007558082	-0.030255965	-0.0024955723	0.0129218477	0	0	0	0	0
-0.0639408	-0.053583	0.176231	0.000382398	-0.000160056	-0.000794524	-0.0192141	-0.032247	0.1456068	-0.000412807	0.000346126	0.000574166000000001	0.26372285	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0039590414	0.0002817783	-0.0028806861	-0.0738443485	-0.0336141375	-0.0064323538	-0.0173873847	0.0723432365	0.0056351257	-0.0045625396	0	0	0	0	0
-0.095906	-0.053227	0.295268	0.00177032	-0.00114986	-0.000486832	-0.0319652	0.000356000000000009	0.119037	0.001387922	-0.000989804	0.000307692	0.2856291	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0104841473	0.0104092239	0.0611920415	-0.0477457985	-0.0366090661	-0.0102656281	-0.0316385321	0.1549072207	-0.0192167354	-0.0332550123	0	0	0	0	0
-0.0781767	-0.0755584	0.138465	0.000706089	-0.000656392	-0.000947271	0.0177293	-0.0223314	-0.156803	-0.001064231	0.000493468	-0.000460439	0.2977706	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0085844772	-0.0188373864	0.0540287281	-0.0105797018	0.0016361775	0.0101926933	-0.0337895031	-0.0053414931	0.0095186172	0.0133595363	0	0	0	0	0
-0.0728679	-0.0790037	0.138358	0.00039165	-0.000540931	-0.000947271	0.00530879999999999	-0.0034453	-0.000107000000000024	-0.000314439	0.000115461	0	0.0303561	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0028813609	-0.0037202243	0.0654781205	0.0489184704	-0.0042722975	0.0031393264	-0.0112139769	0.0107977295	-0.0920673147	0.0514418766	0	0	0	0	0
-0.0781942	-0.0344172	0.149761	-0.0011153	-0.000253998	-0.00102516	-0.00532630000000001	0.0445865	0.011403	-0.00150695	0.000286933	-7.78889999999999e-05	0.1549044	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.000988861	-0.0035023927	0.0056294739	0.0142978333	0.0479762747	-0.0040361129	0.0383648774	0.0108518973	-0.014601349	-0.014552622	0	0	0	0	0
-0.0916772	-0.0626091	0.138131	-0.000531825	-0.000170729	-0.00104972	-0.013483	-0.0281919	-0.01163	0.000583475	8.3269e-05	-2.45600000000001e-05	0.0878701	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	-0.0023447082	-0.001512068	-0.0156898251	-6.38081e-05	-0.0168821918	-0.023940829	0.0518832777	0.0152047838	-0.0070615563	0.0069674545	0	0	0	0	0
-0.0742976	0.00382166	0.123562	0.000246172	-0.000330779	-0.001129	0.0173796	0.06643076	-0.014569	0.000777997	-0.00016005	-7.92799999999999e-05	0.14924571	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0062995714	-0.0034043562	-0.0451642948	0.038196796	0.0037936227	-0.0070315724	0.0735340806	-0.0220191765	-0.0188557619	0.0016686053	0	0	0	0	0
-0.0609263	-0.0154041	0.109417	0.000429433	-0.000330779	-0.000947271	0.0133713	-0.01922576	-0.014145	0.000183261	0	0.000181729	0.06499156	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0062315335	0.0120754853	-0.0549523241	0.0190821394	-0.0214026085	-0.0038638628	0.0719060008	0.0369988425	0.0142117253	-0.0400186234	0	0	0	0	0
