"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.00659611	0.0312149	-0.000129159	0	0	0	0.00659611	0.0312149	-0.000129159	0	0	0.04426896	0.0524141198	0.0524137538	0.0524131437	0.0524122897	0.0524111916	0.0524098495	0.0524082634	0.0524064334	0.0524043593	0.0524020413	0.0523994793	0.0523966733	0.0523936235	0.0523903296	0.0523867919	0.0523830103	0.0523789848	0.0523747155	0.0523702023	0.0523654453	0.0523604445	0.0489523308	-0.0378894511	0.0173934995	-0.0251407014	0.0136917667	-0.0683596096	-0.0056173956	-0.0166261058	-0.0663538872	0.0407733584	0	0	0	0
-2.18999e-06	-0.00766154	0.0403201	8.78565e-05	0	-0.000146458	-2.18999e-06	-0.01425765	0.0091052	0.0002170155	0	-0.000146458	0.04153871499	0.0524131437	0.0524098495	0.0524043593	0.0523966733	0.0523867919	0.0523747155	0.0523604445	0.0523439796	0.0523253215	0.052304471	0.0522814288	0.052256196	0.0522287737	0.052199163	0.0521673651	0.0521333814	0.0520972133	0.0520588623	0.05201833	0.0519756181	0.0519307284	0.0168447409	-0.0646765312	0.0371175955	-0.0043327403	0.0165578874	-0.0536685237	0.0185754749	-0.0464156381	-0.0601895394	0.0397316826	0	0	0	0
-0.00275378	-0.0142792	0.0201766	8.69422e-06	-0.000165253	-0.000229689	-0.00275159001	-0.00661766	-0.0201435	-7.916228e-05	-0.000165253	-8.3231e-05	0.04589506401	0.0524111916	0.0524020413	0.0523867919	0.0523654453	0.0523380039	0.052304471	0.0522648503	0.0522191466	0.0521673651	0.052109512	0.0520455938	0.0519756181	0.051899593	0.0518175273	0.0517294306	0.0516353132	0.051535186	0.0514290606	0.0513169495	0.0511988656	0.0510748227	-0.0093834147	-0.0370371065	-0.0235978582	0.0333005489	0.0071012186	-0.0187368195	0.0408457417	-0.0072026255	-0.1044668738	-0.0040496261	0	0	0	0
6.64838e-06	-2.41954e-05	0.044201	-0.000398523	0	-0.000190773	0.00276042838	0.0142550046	0.0240244	-0.00040721722	0.000165253	3.8916e-05	0.07160914398	0.0524082634	0.0523903296	0.0523604445	0.0523186149	0.0522648503	0.052199163	0.052121568	0.052032083	0.0519307284	0.0518175273	0.0516925056	0.0515556917	0.0514071169	0.051246815	0.0510748227	0.0508911792	0.0506959264	0.0504891087	0.0502707735	0.0500409704	0.0497997519	-0.0499350097	0.0100597843	-0.0260287679	0.0118512418	0.0405591114	0.0320453472	0.0637707738	0.0211926151	-0.0348633229	0.0272474168	0	0	0	0
-0.00202681	-0.0172321	0.0567619	-0.000744762	-0.000217485	0	-0.00203345838	-0.0172079046	0.0125609	-0.000346239	-0.000217485	0.000190773	0.06952711298	0.0524043593	0.0523747155	0.0523253215	0.052256196	0.0521673651	0.0520588623	0.0519307284	0.0517830118	0.0516157682	0.0514290606	0.0512229596	0.0509975427	0.050752895	0.0504891087	0.0502062834	0.0499045256	0.0495839492	0.049244675	0.048886831	0.0485105521	0.0481159803	-0.0096566513	0.056550341	0.0667497331	0.0423937437	0.0320953137	0.0549562044	-0.0248308739	-0.0043573656	0.0101661916	0.0443765218	0	0	0	0
-0.0188043	-0.0248427	0.0441879	-0.00015935	-2.65552e-05	-0.000478904	-0.01677749	-0.0076106	-0.012574	0.000585412	0.0001909298	-0.000478904	0.09972438	0.0523994793	0.0523552	0.0522814288	0.0521782074	0.0520455938	0.0518836628	0.0516925056	0.0514722298	0.0512229596	0.0509448353	0.0506380137	0.0503026675	0.0499389857	0.0495471731	0.0491274505	0.0486800542	0.0482052363	0.0477032642	0.0471744208	0.0466190039	0.0460373263	0.0556329864	-0.0231059601	0.029722108	0.0106791676	0.0167057541	-0.029099247	-0.0552529382	0.0004683543	-0.0475762781	0.0079878112	0	0	0	0
-0.018803	-0.00578496	0.0440626	-0.000501217	-0.000286021	-0.000478904	1.29999999999922e-06	0.01905774	-0.000125300000000002	-0.000341867	-0.0002594658	0	0.04925098	0.0523936235	0.0523317845	0.0522287737	0.0520846721	0.051899593	0.051673682	0.0514071169	0.0511001074	0.050752895	0.0503657529	0.0499389857	0.0494729291	0.0489679499	0.0484244452	0.0478428428	0.0472236001	0.0465672044	0.0458741721	0.0451450484	0.0443804069	0.0435808493	-0.0315701709	-0.0093268528	-0.021056011	0.0371833915	-0.0420648794	0.0058822778	0.0518567678	0.0194053439	-0.0148268261	-0.01975424	0	0	0	0
-0.018803	0.0108322	0.064634	-0.000267135	-0.000286021	-0.000478904	0	0.01661716	0.0205714	0.000234082	0	0	0.04889266	0.0523867919	0.052304471	0.0521673651	0.0519756181	0.0517294306	0.0514290606	0.0510748227	0.050667088	0.0502062834	0.0496928916	0.0491274505	0.0485105521	0.0478428428	0.0471250218	0.0463578411	0.0455421041	0.0446786654	0.0437684292	0.042812349	0.0418114263	0.0407667093	0.0005687398	0.0560574121	-0.0011678113	0.0210324128	0.0250973204	0.0397222377	-0.0208310069	0.037454057	0.0680967069	0.0193175803	0	0	0	0
-0.0187898	-0.00230137	0.0820391	-0.00111865	-0.00041979	-0.000478904	1.32000000000014e-05	-0.01313357	0.0174051	-0.000851515	-0.000133769	0	0.07981607	0.0523789848	0.0522732612	0.0520972133	0.0518510778	0.051535186	0.0511499628	0.0506959264	0.0501736876	0.0495839492	0.0489275043	0.0482052363	0.0474181167	0.0465672044	0.0456536443	0.0446786654	0.0436435792	0.0425497785	0.0413987346	0.040191996	0.0389311863	0.0376180017	0.0379246875	-0.0519351611	0.0220844279	0.0137873037	-0.0022730744	-0.0586004229	-0.0399662258	-0.0279972543	0.0498717629	0.0027756225	0	0	0	0
