"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0	-2.96411e-09	-6.9015e-11	8.07424e-05	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2.95842e-07	0.0335239	0.0150604	0	0	5.38089e-05	-2.95842e-07	0.03352390296411	0.015060400069015	-8.07424e-05	0	5.38089e-05	0.055312163875125	0.0524141198	0.0524137538	0.0524131437	0.0524122897	0.0524111916	0.0524098495	0.0524082634	0.0524064334	0.0524043593	0.0524020413	0.0523994793	0.0523966733	0.0523936235	0.0523903296	0.0523867919	0.0523830103	0.0523789848	0.0523747155	0.0523702023	0.0523654453	0.0523604445	-0.0481075357	-0.0069387782	-0.0027336462	-0.0395805952	-0.0154933497	-0.0214892068	-0.0102701363	0.0408865465	0.0360528982	-0.0141294537	0	0	0	0	0	0	0	0	0	0	0
-0.0152668	0.0569837	0.110928	-4.36043e-05	-0.000303772	0	-0.015266504158	0.0234598	0.0958676	-4.36043e-05	-0.000303772	-5.38089e-05	0.154653164158	0.0524131437	0.0524098495	0.0524043593	0.0523966733	0.0523867919	0.0523747155	0.0523604445	0.0523439796	0.0523253215	0.052304471	0.0522814288	0.052256196	0.0522287737	0.052199163	0.0521673651	0.0521333814	0.0520972133	0.0520588623	0.05201833	0.0519756181	0.0519307284	0.0233193528	0.0112699999	0.0173438241	-0.0290799809	0.002254758	0.0034457924	-0.0066489879	-0.0200563254	0.0316719507	-0.0028425205	0	0	0	0	0	0	0	0	0	0	0
-0.0227503	0.0324883	0.109026	-0.00011594	9.06499e-05	0	-0.0074835	-0.0244954	-0.001902	-7.23357e-05	0.0003944219	0	0.05721878	0.0524111916	0.0524020413	0.0523867919	0.0523654453	0.0523380039	0.052304471	0.0522648503	0.0522191466	0.0521673651	0.052109512	0.0520455938	0.0519756181	0.051899593	0.0518175273	0.0517294306	0.0516353132	0.051535186	0.0514290606	0.0513169495	0.0511988656	0.0510748227	0.0461630735	0.0019999011	0.0135344569	0.0221887834	-0.0287723842	-0.0104803384	-0.0088219528	-0.0401442598	-0.0192803089	-0.0102747489	0	0	0	0	0	0	0	0	0	0	0
-0.0266235	0.0325322	0.102239	0.000157435	0.000372893	0	-0.0038732	4.38999999999995e-05	-0.006787	0.000273375	0.0002822431	0	0.038485005	0.0524082634	0.0523903296	0.0523604445	0.0523186149	0.0522648503	0.052199163	0.052121568	0.052032083	0.0519307284	0.0518175273	0.0516925056	0.0515556917	0.0514071169	0.051246815	0.0510748227	0.0508911792	0.0506959264	0.0504891087	0.0502707735	0.0500409704	0.0497997519	0.0139728152	-0.0179647062	-0.0042870318	0.0685550822	-0.050414109	0.024632562	0.0213305069	0.0110018432	-0.0692664894	0.0375218099	0	0	0	0	0	0	0	0	0	0	0
0.000605711	-0.0292412	-0.00127142	3.79339e-05	-0.000242724	0	0.027229211	-0.0617734	-0.10351042	-0.0001195011	-0.000615617	0	0.229268936	0.0524043593	0.0523747155	0.0523253215	0.052256196	0.0521673651	0.0520588623	0.0519307284	0.0517830118	0.0516157682	0.0514290606	0.0512229596	0.0509975427	0.050752895	0.0504891087	0.0502062834	0.0499045256	0.0495839492	0.049244675	0.048886831	0.0485105521	0.0481159803	-0.0476217232	-0.0077867806	0.0418560502	0.0147347418	0.0018710827	-0.0088629363	-0.0037161095	0.0765820066	0.0060336211	0.0120598221	0	0	0	0	0	0	0	0	0	0	0
-0.0127264	0.048749	0.120473	-0.000370884	5.43231e-05	0.000100861	-0.013332111	0.0779902	0.12174442	-0.0004088179	0.0002970471	0.000100861	0.253403031	0.0523994793	0.0523552	0.0522814288	0.0521782074	0.0520455938	0.0518836628	0.0516925056	0.0514722298	0.0512229596	0.0509448353	0.0506380137	0.0503026675	0.0499389857	0.0495471731	0.0491274505	0.0486800542	0.0482052363	0.0477032642	0.0471744208	0.0466190039	0.0460373263	0.0366126621	0.0069985291	0.0032250449	-0.0088843367	0.0276788175	-0.0325562709	-0.0116600638	-0.0057409094	0.0146110381	-0.0298137529	0	0	0	0	0	0	0	0	0	0	0
0.00804763	-0.0617846	-0.0314185	-0.000276668	-0.000242153	-8.51167e-05	0.02077403	-0.1105336	-0.1518915	9.4216e-05	-0.0002964761	-0.0001859777	0.31203262	0.0523936235	0.0523317845	0.0522287737	0.0520846721	0.051899593	0.051673682	0.0514071169	0.0511001074	0.050752895	0.0503657529	0.0499389857	0.0494729291	0.0489679499	0.0484244452	0.0478428428	0.0472236001	0.0465672044	0.0458741721	0.0451450484	0.0443804069	0.0435808493	-0.0343402088	0.0044769441	-0.0661537929	0.0100600733	0.0334119156	0.0041039833	0.0041522568	0.018071264	-0.0323682623	-0.013706537	0	0	0	0	0	0	0	0	0	0	0
-0.00936827	0.0809821	0.106293	-0.000926971	6.56117e-05	-8.76296e-05	-0.0174159	0.1427667	0.1377115	-0.000650303	0.0003077647	-2.51290000000001e-06	0.34592313	0.0523867919	0.052304471	0.0521673651	0.0519756181	0.0517294306	0.0514290606	0.0510748227	0.050667088	0.0502062834	0.0496928916	0.0491274505	0.0485105521	0.0478428428	0.0471250218	0.0463578411	0.0455421041	0.0446786654	0.0437684292	0.042812349	0.0418114263	0.0407667093	0.0120167644	0.0050294349	-0.029611097	-0.0648552626	-0.016876772	-0.009888733	-0.0033015868	-0.0049413326	0.0447233996	-0.0260297211	0	0	0	0	0	0	0	0	0	0	0
0.0080817	-0.0257812	0.00460129	-3.3233e-05	-0.000158486	0.000115252	0.01744997	-0.1067633	-0.10169171	0.000893738	-0.0002240977	0.0002028816	0.291940845	0.0523789848	0.0522732612	0.0520972133	0.0518510778	0.051535186	0.0511499628	0.0506959264	0.0501736876	0.0495839492	0.0489275043	0.0482052363	0.0474181167	0.0465672044	0.0456536443	0.0446786654	0.0436435792	0.0425497785	0.0413987346	0.040191996	0.0389311863	0.0376180017	0.0013030392	0.0058697107	-0.0424738301	0.0354713558	-0.0382781242	-0.0031436706	0.034348869	-0.0120977449	-0.0553874942	-0.0138934691	0	0	0	0	0	0	0	0	0	0	0
