"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0	6.07783e-09	-2.93387e-09	9.27989e-05	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0158238	1.36938e-05	-0.00025	0	0	0	0.01582379392217	1.369673387e-05	-0.0003427989	0	0	0.03297743565604	0.0524141198	0.0524137538	0.0524131437	0.0524122897	0.0524111916	0.0524098495	0.0524082634	0.0524064334	0.0524043593	0.0524020413	0.0523994793	0.0523966733	0.0523936235	0.0523903296	0.0523867919	0.0523830103	0.0523789848	0.0523747155	0.0523702023	0.0523654453	0.0523604445	-0.0086337192	-0.0668710821	-0.0478631145	-0.0133704591	0.0744619958	0.0078645553	-0.0093478088	0.0258979639	0.0851651162	0.082429278	0	0	0	0	0	0
0.015537	5.61782e-05	-0.00596669	0.000526514	0	-0.000118413	0.015537	-0.0157676218	-0.0059803838	0.000776514	0	-0.000118413	0.0820313556	0.0524131437	0.0524098495	0.0524043593	0.0523966733	0.0523867919	0.0523747155	0.0523604445	0.0523439796	0.0523253215	0.052304471	0.0522814288	0.052256196	0.0522287737	0.052199163	0.0521673651	0.0521333814	0.0520972133	0.0520588623	0.05201833	0.0519756181	0.0519307284	0.0451322821	0.0118360317	-0.0066324869	-0.0744963282	0.076118112	0.0312767517	0.0306494771	-0.0045690382	-0.0714882916	0.0429478858	0	0	0	0	0	0
0.0269456	0.0564854	0.0190557	-0.000760972	0.00025	-0.000110083	0.0114086	0.0564292218	0.02502239	-0.001287486	0.00025	8.33e-06	0.1701510118	0.0524111916	0.0524020413	0.0523867919	0.0523654453	0.0523380039	0.052304471	0.0522648503	0.0522191466	0.0521673651	0.052109512	0.0520455938	0.0519756181	0.051899593	0.0518175273	0.0517294306	0.0516353132	0.051535186	0.0514290606	0.0513169495	0.0511988656	0.0510748227	0.0097789361	0.0519790017	0.006027325	0.0484138189	0.0104763883	0.0174498989	-0.0288190923	-0.0277481955	0.0040051849	-0.0323417146	0	0	0	0	0	0
0.024725	0.0227812	0.071903	-8.93271e-05	0	0	-0.0022206	-0.0337042	0.0528473	0.0006716449	-0.00025	0.000110083	0.140358495	0.0524082634	0.0523903296	0.0523604445	0.0523186149	0.0522648503	0.052199163	0.052121568	0.052032083	0.0519307284	0.0518175273	0.0516925056	0.0515556917	0.0514071169	0.051246815	0.0510748227	0.0508911792	0.0506959264	0.0504891087	0.0502707735	0.0500409704	0.0497997519	-0.0300406755	-0.044830089	0.046133713	0.016078704	-0.0441730836	-0.0344223725	-0.0239182147	0.0203015485	-0.0154548468	-0.060433378	0	0	0	0	0	0
0.0234378	0.0361877	0.0378733	-0.000762613	0.000313849	0	-0.0012872	0.0134065	-0.0340297	-0.0006732859	0.000313849	0	0.098080145	0.0524043593	0.0523747155	0.0523253215	0.052256196	0.0521673651	0.0520588623	0.0519307284	0.0517830118	0.0516157682	0.0514290606	0.0512229596	0.0509975427	0.050752895	0.0504891087	0.0502062834	0.0499045256	0.0495839492	0.049244675	0.048886831	0.0485105521	0.0481159803	-0.0322119467	-0.0203573464	-0.0209392739	-0.0431318872	-0.0562449322	-0.0200614448	0.0102014402	0.0430302011	0.0364991122	-0.0119736872	0	0	0	0	0	0
0.0290584	-0.00127621	-0.00857044	-0.00143038	0.000538799	-7.43344e-05	0.0056206	-0.03746391	-0.04644374	-0.000667767	0.00022495	-7.43344e-05	0.13788082	0.0523994793	0.0523552	0.0522814288	0.0521782074	0.0520455938	0.0518836628	0.0516925056	0.0514722298	0.0512229596	0.0509448353	0.0506380137	0.0503026675	0.0499389857	0.0495471731	0.0491274505	0.0486800542	0.0482052363	0.0477032642	0.0471744208	0.0466190039	0.0460373263	0.022742869	0.0402170192	-0.0692520227	-0.0070539666	-0.0246596532	0.0177519086	0.0540041194	-0.0517355939	0.0052757474	-0.0028725599	0	0	0	0	0	0
-0.0322614	-0.0413812	-0.126243	-0.00338967	-5.26309e-05	0	-0.0613198	-0.04010499	-0.11767256	-0.00195929	-0.0005914299	7.43344e-05	0.350350065	0.0523936235	0.0523317845	0.0522287737	0.0520846721	0.051899593	0.051673682	0.0514071169	0.0511001074	0.050752895	0.0503657529	0.0499389857	0.0494729291	0.0489679499	0.0484244452	0.0478428428	0.0472236001	0.0465672044	0.0458741721	0.0451450484	0.0443804069	0.0435808493	0.0378173258	-0.019926241	0.0180460773	0.0636621734	0.012091877	0.0341682841	0.0380394017	-0.0147025521	-0.0761243856	0.0118206662	0	0	0	0	0	0
-0.034783	0.0284605	0.00349845	-0.00380153	-9.85633e-05	0	-0.0025216	0.0698417	0.12974145	-0.00041186	-4.59324e-05	0	0.22499437	0.0523867919	0.052304471	0.0521673651	0.0519756181	0.0517294306	0.0514290606	0.0510748227	0.050667088	0.0502062834	0.0496928916	0.0491274505	0.0485105521	0.0478428428	0.0471250218	0.0463578411	0.0455421041	0.0446786654	0.0437684292	0.042812349	0.0418114263	0.0407667093	-0.0380555009	-0.0161673402	0.0926400017	-0.0283474344	0.0109124229	-0.0495063928	-0.0063971125	-0.0541842144	-0.0471909912	-0.0111542919	0	0	0	0	0	0
-0.0267366	-0.0134167	-0.0155828	-0.0031828	6.49413e-05	-7.94427e-05	0.0080464	-0.0418772	-0.01908125	0.00061873	0.0001635046	-7.94427e-05	0.112088715	0.0523789848	0.0522732612	0.0520972133	0.0518510778	0.051535186	0.0511499628	0.0506959264	0.0501736876	0.0495839492	0.0489275043	0.0482052363	0.0474181167	0.0465672044	0.0456536443	0.0446786654	0.0436435792	0.0425497785	0.0413987346	0.040191996	0.0389311863	0.0376180017	-0.0299296895	0.0307310308	-0.0621467452	-0.0368266406	-0.0250092338	-0.0122984433	-0.0118992875	0.0593263993	0.0918606639	-0.0049179876	0	0	0	0	0	0
-0.00927848	-0.0156946	-0.0255573	-0.00277701	6.49413e-05	0	0.01745812	-0.0022779	-0.0099745	0.00040579	0	7.94427e-05	0.053972155	0.0523702023	0.0522381577	0.05201833	0.0517110885	0.0513169495	0.0508365754	0.0502707735	0.0496204944	0.048886831	0.0480710162	0.0471744208	0.0461985516	0.0451450484	0.0440156816	0.042812349	0.0415370728	0.040191996	0.0387793789	0.0373015953	0.0357611286	0.0341605674	0.0571897438	0.0032230878	-0.0070328144	0.0711242769	0.000633399	0.0313918352	0.0291551311	-0.0598407377	-0.0514465541	0.0359841167	0	0	0	0	0	0
-0.00998417	0.0442482	0.0090303	-0.00365084	0.000160998	0	-0.00070569	0.0599428	0.0345876	-0.00087383	9.60567e-05	0	0.143730425	0.0523604445	0.052199163	0.0519307284	0.0515556917	0.0510748227	0.0504891087	0.0497997519	0.0490081675	0.0481159803	0.0471250218	0.0460373263	0.0448551266	0.0435808493	0.0422171104	0.0407667093	0.0392326234	0.0376180017	0.0359261587	0.0341605674	0.0323248521	0.0304227813	-0.0103035875	-0.0051742523	0.0576595684	-0.0220377198	0.0289347373	-0.0073343421	-0.047920035	-0.024846348	0.0153753603	-0.0005025328	0	0	0	0	0	0
-0.0115548	0.0152157	0.00898299	-0.00298181	6.49413e-05	-0.000392962	-0.00157063	-0.0290325	-4.73100000000018e-05	0.00066903	-9.60567e-05	-0.000392962	0.088552875	0.0523497117	0.05215628	0.0518344232	0.0513849338	0.0508089184	0.0501077956	0.0492832916	0.0483374366	0.0472725596	0.0460912827	0.0447965146	0.0433914434	0.0418795288	0.0402644936	0.0385503146	0.0367412126	0.0348416421	0.0328562806	0.0307900166	0.0286479378	0.0264353189	-0.0507666917	0.0463972156	-0.0205003172	-0.0001031301	0.0143692776	-0.0377740591	-0.0196057802	0.0276429512	0.0275133993	-0.0009309691	0	0	0	0	0	0
0.000285836	0.000150913	-0.022576	-0.00300358	6.49413e-05	0	0.011840636	-0.015064787	-0.03155899	-2.177e-05	0	0.000392962	0.079201013	0.0523380039	0.052109512	0.0517294306	0.0511988656	0.0505193604	0.0496928916	0.0487218636	0.047609101	0.0463578411	0.0449717237	0.0434547811	0.0418114263	0.0400464398	0.038164956	0.0361724484	0.0340747132	0.0318778528	0.029588258	0.0272125894	0.024757758	0.0222309049	0.003839367	-0.0500718542	-0.0401001322	0.0323426591	-0.0140936837	0.0119085193	0.019246605	0.0078558074	0.0495168063	-0.0385727177	0	0	0	0	0	0
0.00825333	-0.00326183	-0.0383157	-0.003036	6.49413e-05	0	0.007967494	-0.003412743	-0.0157397	-3.242e-05	0	0	0.028740937	0.0523253215	0.0520588623	0.0516157682	0.0509975427	0.0502062834	0.049244675	0.0481159803	0.0468240289	0.0453732043	0.0437684292	0.0420151486	0.0401193113	0.0380873499	0.0359261587	0.0336430707	0.0312458323	0.0287425773	0.0261417992	0.0234523225	0.0206832724	0.0178440444	0.0556699953	-0.0133642156	0.0121742289	-0.0679484538	-0.0178085539	0.0446578417	0.0266158669	0.0149687438	-0.0538950417	-0.0168914818	0	0	0	0	0	0
-0.00132359	0.0178852	-0.0140551	-0.00351132	6.49413e-05	-0.000119227	-0.00957692	0.02114703	0.0242606	-0.00047532	0	-0.000119227	0.0847119	0.0523116647	0.0520043348	0.051493455	0.0507810249	0.0498698332	0.0487634462	0.0474661945	0.0459831556	0.0443201343	0.0424836398	0.0404808604	0.038319635	0.036008423	0.0335562706	0.0309727759	0.0282680507	0.0254526818	0.0225376886	0.0195344808	0.0164548132	0.0133107399	0.0092041699	0.0565518869	0.0253283069	0.050058909	-0.0308694978	0.0221412655	-0.0391074961	0.0129871352	-0.0112685111	-0.0207594275	0	0	0	0	0	0
-0.0129391	0.0152576	0.0453962	-0.00302186	6.49413e-05	0	-0.01161551	-0.0026276	0.0594513	0.00048946	0	0.000119227	0.10412876	0.0522970337	0.0519459335	0.0513625114	0.0505493769	0.0495101664	0.0482495277	0.046773099	0.0450874833	0.0432002194	0.0411197477	0.0388553731	0.0364172225	0.0338162004	0.0310639394	0.0281727488	0.025155559	0.0220258641	0.0187976612	0.015485388	0.0121038584	0.0086681957	-0.0476104782	-0.0482031843	0.026077519	0.0086590178	-0.0470708144	-0.0372137016	-0.0054694105	0.0211823945	0.0035649622	-0.0394036956	0	0	0	0	0	0
0.0111511	-0.00319938	-0.0206563	-0.00287487	6.49413e-05	-7.8668e-05	0.0240902	-0.01845698	-0.0660525	0.00014699	0	-7.8668e-05	0.11988258	0.0522814288	0.0518836628	0.0512229596	0.0503026675	0.0491274505	0.0477032642	0.0460373263	0.0441380794	0.0420151486	0.0396792925	0.0371423487	0.0344171741	0.0315175794	0.0284582593	0.0252547177	0.0219231897	0.0184805588	0.0149442718	0.0113322499	0.0076627981	0.0039545126	0.0189688938	0.0106935919	-0.0482278458	-0.0662393744	-0.0207728984	0.0024487878	0.0279309568	0.0101424441	0.0156430549	-0.0025120691	0	0	0	0	0	0
0.0165471	-0.0120383	-0.0244376	-0.00282141	6.49413e-05	-5.29396e-23	0.00539599999999999	-0.00883892	-0.0037813	5.346e-05	0	7.8668e-05	0.02462262	0.0522648503	0.0518175273	0.0510748227	0.0500409704	0.0487218636	0.0471250218	0.0452595478	0.0431360754	0.0407667093	0.038164956	0.0353456466	0.0323248521	0.0291197926	0.025748738	0.0222309049	0.0185863463	0.0148358378	0.0110007588	0.007102971	0.0031646932	-0.0007916247	0.0488280185	0.0165063049	-0.0068548133	0.0703737612	-0.0235168412	0.0306044604	0.0116201579	-0.0138441141	-0.0633849211	-0.0016453711	0	0	0	0	0	0
0.0126034	0.0224471	-0.00438423	-0.0033196	6.49413e-05	0	-0.0039437	0.0344854	0.02005337	-0.00049819	0	5.29396e-23	0.08339197	0.0522472985	0.051747532	0.0509181258	0.0497643635	0.0482935946	0.0465151882	0.044440473	0.0420826652	0.0394567845	0.0365795581	0.0334693144	0.0301458661	0.026630384	0.0229452624	0.0191139759	0.0151609305	0.0111113077	0.0069909042	0.0028259676	-0.0013569709	-0.0055312652	0.00267265	-0.0121770782	0.0707655466	-0.0136459682	-0.0167193413	-0.0138835368	-0.0360287941	-0.0393632579	0.0001767857	-0.0311676715	0	0	0	0	0	0
0.00397934	0.00640841	0.0304782	-0.00297018	6.49413e-05	0	-0.00862406	-0.01603869	0.03486243	0.00034942	0	0	0.07699618	0.0522287737	0.051673682	0.050752895	0.0494729291	0.0478428428	0.0458741721	0.0435808493	0.0409791044	0.0380873499	0.0349260507	0.0315175794	0.0278860579	0.0240571864	0.020058062	0.0159169864	0.011663266	0.0073270047	0.00293889	-0.0014700233	-0.0058685331	-0.0102255113	-0.0515753694	0.0511857022	-0.0056999172	-0.0005109498	-0.0319130529	-0.0487947371	-0.0276000853	0.0423061539	0.0104412725	-0.0313663073	0	0	0	0	0	0
0.00360288	-0.0220681	-0.0447823	-0.0036424	0.000103174	0	-0.000376459999999999	-0.02847651	-0.0752605	-0.00067222	3.82327e-05	0	0.139636105	0.0522092763	0.0515959829	0.050579158	0.0491667543	0.0473698181	0.0452024033	0.0426814612	0.039826708	0.0366604707	0.0332075124	0.0294948387	0.0255514863	0.0214082961	0.0170976719	0.0126533271	0.0081100208	0.0035032861	-0.0011308477	-0.0057561371	-0.0103364079	-0.0148358378	0.003939727	-0.0433122422	-0.0436373541	0.0450549259	-0.0078610153	-0.0082967572	0.0093277592	0.0361264547	0.0431245602	0.022716628	0	0	0	0	0	0
0.00720895	-0.0032578	-0.0604894	-0.00372501	0.0001062	0	0.00360607	0.0188103	-0.0157071	-8.26099999999999e-05	3.02600000000001e-06	0	0.04240527	0.0521888067	0.0515144404	0.0503969439	0.0488459301	0.0468747407	0.0445003321	0.0417431291	0.0386268493	0.0351782991	0.0314271432	0.0274056492	0.0231484102	0.0186920473	0.0140748942	0.0093366682	0.0045181276	-0.0003392783	-0.0051937656	-0.0100035758	-0.0147273348	-0.0193244083	0.0437024783	-0.0208983652	0.023785937	-0.055226119	0.033619548	0.0349745217	0.0082908422	-0.003654833	-0.0275538643	0.040437148	0	0	0	0	0	0
-0.00533742	0.0532328	0.00467291	-0.00376998	-0.000186185	0	-0.01254637	0.0564906	0.06516231	-4.49700000000001e-05	-0.000292385	0	0.15106703	0.0521673651	0.0514290606	0.0502062834	0.0485105521	0.0463578411	0.0437684292	0.0407667093	0.0373809583	0.0336430707	0.029588258	0.0252547177	0.0206832724	0.0159169864	0.0110007588	0.0059809018	0.0009047034	-0.0041800175	-0.0092253617	-0.0141838011	-0.019008626	-0.0236543856	-0.0165873988	0.0670849535	0.0157754192	0.0310269816	0.0025850265	-0.0146709909	-0.0434490222	-0.024542377	-0.00166009	0.0217120126	0	0	0	0	0	0
-0.00731828	0.00768077	-0.00533237	-0.00367599	0.000137201	0	-0.00198086	-0.04555203	-0.01000528	9.399e-05	0.000323386	0	0.07840697	0.0521449521	0.05133985	0.0500072082	0.0481607204	0.0458193599	0.0430071852	0.0397530928	0.0360905197	0.0320571007	0.0276942808	0.0230468899	0.0181626821	0.0130918447	0.0078864829	0.0026000839	-0.0027130321	-0.0079982704	-0.013201323	-0.0182687262	-0.0231484102	-0.027790234	-0.0381118141	-0.0256831762	-0.0124067773	0.045225701	0.0004658394	-0.0293183575	-0.0223247472	0.0492859178	0.051003293	0.0316236746	0	0	0	0	0	0
0.00157147	0.00160146	-0.0530458	-0.0032843	0.000245761	-2.11758e-22	0.00888975	-0.00607931	-0.04771343	0.00039169	0.00010856	-2.11758e-22	0.08769499	0.052121568	0.051246815	0.0497997519	0.0477965391	0.0452595478	0.0422171104	0.0387032042	0.0347570714	0.0304227813	0.025748738	0.02078714	0.015593397	0.0102255113	0.00474343	-0.0007916247	-0.0063178387	-0.0117734969	-0.0170976719	-0.0222309049	-0.0271158693	-0.0316980113	-0.005277912	-0.0178645551	-0.0313881616	-0.0493402515	0.0598036348	-0.0042294659	0.033299306	-0.0436314055	0.0357051016	0.0446122938	0	0	0	0	0	0
-0.00207708	-0.0147934	-0.0845802	-0.00334845	-0.000225833	0	-0.00364855	-0.01639486	-0.0315344	-6.41499999999998e-05	-0.000471594	2.11758e-22	0.07836501	0.0520972133	0.0511499628	0.0495839492	0.0474181167	0.0446786654	0.0413987346	0.0376180017	0.0333822024	0.0287425773	0.0237552522	0.0184805588	0.0129823055	0.0073270047	0.0015830688	-0.0041800175	-0.009892538	-0.015485388	-0.0208909108	-0.0260437153	-0.0308814681	-0.0353456466	0.0378536563	0.0476039423	-0.0370425775	0.0148993264	0.0479331759	0.0354652688	0.0338076873	-0.0214072109	-0.0347245263	0.0048778761	0	0	0	0	0	0
-0.0222205	0.0223238	-0.0445862	-0.00374592	-0.000523842	-3.32517e-05	-0.02014342	0.0371172	0.039994	-0.00039747	-0.000298009	-3.32517e-05	0.133691155	0.0520718884	0.0510493004	0.0493598362	0.0470255659	0.0440769831	0.0405526062	0.0364984753	0.0319675512	0.0270190229	0.0217175351	0.0161323429	0.0103364079	0.0044054445	-0.0015830688	-0.0075509019	-0.0134200948	-0.0191139759	-0.024558164	-0.0296815396	-0.0344171741	-0.0387032042	0.0287934974	-0.0376890912	0.0723938782	0.0206874874	0.0213783052	0.0119502247	-0.0164287147	-0.0079603087	-0.0564297865	-0.0205249998	0	0	0	0	0	0
-0.0221387	0.00443394	-0.00340261	-0.00364622	-0.000497725	5.28126e-05	8.17999999999999e-05	-0.01788986	0.04118359	9.96999999999999e-05	2.6117e-05	8.60643e-05	0.069749315	0.0520455938	0.0509448353	0.0491274505	0.0466190039	0.0434547811	0.0396792925	0.0353456466	0.0305148036	0.0252547177	0.0196393809	0.0137477825	0.0076627981	0.0014700233	-0.00474343	-0.0108901587	-0.0168836987	-0.0226397406	-0.0280773158	-0.0331199354	-0.0376966663	-0.0417431291	-0.0366925747	0.020838666	0.0449847334	-0.0659788855	-0.0413730519	-0.0327966389	-0.0381964671	-0.0061075385	0.024271138	-0.0804690296	0	0	0	0	0	0
-0.0222165	0.00284436	-0.017816	-0.0036884	-0.000196615	5.28126e-05	-7.77999999999994e-05	-0.00158958	-0.01441339	-4.21800000000002e-05	0.00030111	0	0.03324527	0.05201833	0.0508365754	0.048886831	0.0461985516	0.042812349	0.0387793789	0.0341605674	0.029025691	0.0234523225	0.017524659	0.0113322499	0.004968644	-0.0014700233	-0.0078864829	-0.0141838011	-0.0202668442	-0.0260437153	-0.0314271432	-0.0363358002	-0.040695531	-0.044440473	-0.0452874924	0.0151209847	-0.0237303689	0.0407398029	-0.0773087286	-0.0540281523	-0.0033204121	0.0739605644	-0.009286122	-0.0269980086	0	0	0	0	0	0
-0.0222408	-0.0268081	-0.0642	-0.00324777	0.000245761	5.28127e-05	-2.42999999999979e-05	-0.02965246	-0.046384	0.00044063	0.000442376	1.00000000000219e-10	0.120211065	0.0519900974	0.0507245288	0.0486380181	0.0457643343	0.042149986	0.0378534688	0.032944319	0.0275019879	0.0216145559	0.015377307	0.0088911868	0.0022611689	-0.0044054445	-0.0110007588	-0.0174180334	-0.0235534089	-0.0293075885	-0.0345874448	-0.0393075269	-0.0433914434	-0.046773099	0.0194353675	-0.0482130188	-0.0273348966	-0.0149328736	-0.0482473209	0.0053386238	0.0204909421	-0.0075758863	0.0390928861	-0.0117600907	0	0	-0.380374703292263	-1.08091270754883	-2.22840312389761	-1.68540061352814
-0.0160232	-0.0205973	-0.144903	-0.00372308	-0.000229341	5.28126e-05	0.0062176	0.0062108	-0.080703	-0.00047531	-0.000475102	-1.00000000000219e-10	0.140652005	0.0519608967	0.0506087036	0.0483810535	0.0453164815	0.0414680002	0.0369021828	0.0316980113	0.0259455102	0.0197441895	0.013201323	0.0064300929	-0.0004523686	-0.0073270047	-0.0140748942	-0.0205793086	-0.0267277308	-0.0324138022	-0.0375391619	-0.0420151486	-0.0457643343	-0.0487218636	0.01953683	0.0370319158	0.0065478952	-0.0242571111	0.0104424529	0.0239417044	0.0107621197	0.0276125709	-0.0652617081	0.0310124953	0	0	-1.27014591083183	-1.28774394727322	-2.22840312389761	-1.68540061352814
