"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0565768	-6.70311e-05	3.68896e-05	0.000515423	-3.026e-05	0.000907385	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0528759221	0.0175457802	-0.0571910263	0.0468851042	-0.0092955908	-0.0674723001	0.0827813603	0.0350585372	0.0528813653	-0.0341559492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0536003	-5.0253e-05	0.0179742	0.000410732	-0.000222815	0.00082469	-0.0029765	1.67781e-05	0.0179373104	-0.000104691	-0.000192555	-8.2695e-05	0.0399276385	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0262504395	0.0155858481	-0.0360993075	0.028516826	-0.0025103888	-0.0649016903	0.0695893261	-0.0822384377	0.0910868743	-0.1603066857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.042491	-4.4298e-05	0.0130878	0.000247333	-0.000193009	0.00082469	-0.0111093	5.955e-06	-0.0048864	-0.000163399	2.9806e-05	0	0.025661905	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0125060987	0.0039293022	-0.0193368165	0.0205498535	-0.038355849	-0.0037067918	0.0018554906	-0.0033601516	-0.0017056825	-0.0041743799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0491648	0.00405746	-0.0119441	0.000410732	-0.00014173	0.00082469	0.0066738	0.004101758	-0.0250319	0.000163399	5.1279e-05	0	0.046541358	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0406420735	0.0196383959	-0.0624115255	0.0348223384	-0.0217942896	-0.0436065455	0.0228022074	0.0499665127	-0.1033258214	0.030899507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0400874	-4.84827e-05	0.0124811	0.000374137	5.29927e-05	0.00082469	-0.0090774	-0.0041059427	0.0244252	-3.6595e-05	0.0001947227	0	0.0491744277	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.06287449	0.0147015586	-0.04539656	0.0195812836	-0.0077017991	-0.0758726399	0.0176870729	0.0676943547	-0.0393357597	-0.0097918869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.056554	-0.00961278	0.0382472	0.000642668	-0.000138316	0.000747788	0.0164666	-0.0095642973	0.0257661	0.000268531	-0.0001913087	-7.6902e-05	0.0786340823	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0606200078	0.0113401845	-0.0303776375	-0.0206383202	3.15284e-05	-0.0772225143	-0.0276692748	0.0019402556	0.0072695323	-0.0042948645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0565385	-0.00953375	0.0303336	0.000811731	-0.000359114	0.00082469	-1.54999999999947e-05	7.9029999999999e-05	-0.00791359999999999	0.000169063	-0.000220798	7.6902e-05	0.03134628	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0361911414	0.0050415212	-0.0158088876	-0.0335183303	-0.0138115889	-0.0578355502	-0.0225903441	-0.0067298921	0.0350373563	-0.0470153155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0565635	0.00970695	0.0303085	0.000488806	-0.000349689	0.00039139	2.49999999999973e-05	0.0192407	-2.51000000000036e-05	-0.000322925	9.42499999999997e-06	-0.0004333	0.0575733	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0300924548	0.0059437271	-0.0184735795	-0.0151903302	-0.0204828537	-0.0483098544	-0.0236463315	-0.002212983	0.0272575474	-0.0788610983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0383799	-3.7594e-05	0.0303098	0.000493445	-5.69076e-05	0.00077427	-0.0181836	-0.009744544	1.30000000000269e-06	4.63900000000007e-06	0.0002927814	0.00038288	0.061944464	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0348992775	-0.0038643811	-0.0051760025	-0.0367592486	-0.014857216	-0.0313002303	-0.0418966598	-0.0064092136	0.0407153771	0.0012232335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0440247	-0.00740683	0.00472751	0.00113969	5.29927e-05	0.000705795	0.00564479999999999	-0.007369236	-0.02558229	0.000646245	0.0001099003	-6.84749999999998e-05	0.079827341	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0196753418	-0.000844837	-0.0014954961	-0.0312462493	-0.0192348271	-0.0073466625	-0.052619949	-0.0110702847	0.0209899565	-0.0004202861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
