"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"motion_outlier28"	"motion_outlier29"	"motion_outlier30"	"motion_outlier31"	"motion_outlier32"	"motion_outlier33"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.143675	0.0127243	0.0159552	0.00126214	-0.0011966	0.00162056	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0149467229	-0.0940143383	0.0411625206	-0.0464630991	0.0856099124	0.0067390589	-0.0434433047	-0.0435607269	-0.0052750308	0.0095622907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1389	-0.0318277	-0.120317	0.00135071	-0.00121867	0.00136173	-0.004775	-0.044552	-0.1362722	8.85700000000001e-05	-2.20700000000001e-05	-0.00025883	0.2040727	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0075044061	-0.1320540123	0.0085380224	-0.0651700241	0.0709790665	0.0029754948	-0.0098177222	-0.0034510992	-0.0187757873	-0.0285170097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0192671	0.0251876	-0.0614585	0.00163756	0.00172486	5.21413e-05	-0.1196329	0.0570153	0.0588585	0.00028685	0.00294353	-0.0013095887	0.462505135	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0045944855	-0.0281728626	-0.0010023138	-0.0208305386	0.0235406112	0.0003745741	-0.0016389501	-0.0078160896	-0.012698778	-0.0097575247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.170865	0.0394089	-0.0627096	0.00212488	0.00655535	-0.000707892	-0.1901321	0.0142213	-0.0012511	0.00048732	0.00483049	-0.0007600333	0.509496665	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0003423256	0.0324856049	0.0430359979	-0.0445009463	-0.047540311	0.0219012683	0.0044698837	0.007109588	0.0005756909	-0.0233815436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0742083	-0.0117159	-0.0187819	0.00100946	0.00323887	-0.00101047	0.0966567	-0.0511248	0.0439277	-0.00111542	-0.00331648	-0.000302578	0.4284331	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0017357252	0.0136099243	0.0042500169	-0.0348557878	-0.0348505349	0.0116254506	0.0078334275	-0.0141496067	-0.034203171	0.0070096661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0554824	-0.0117123	-0.0187335	0.000341057	0.0025464	-0.0012748	0.0187259	3.60000000000117e-06	4.84000000000005e-05	-0.000668403	-0.00069247	-0.00026433	0.10003805	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0038094133	0.0250546122	0.0143950097	-0.0017930143	-0.0170196206	0.0051339586	0.0150112787	0.0035164412	-0.0001035576	-0.0042215756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.054998	0.00866302	-0.018704	0.000422253	0.00207543	-0.00108306	0.000484400000000003	0.02037532	2.95000000000018e-05	8.11960000000001e-05	-0.00047097	0.00019174	0.05808452	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0007835679	0.0005186558	0.0462514497	-0.0077423855	-0.0055101272	0.0252312475	-0.0036601851	-0.0003336949	-0.0030471467	-0.0169515473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0742664	-0.0116916	0.00111323	0.000556543	0.00207543	-0.000937703	-0.0192684	-0.02035462	0.01981723	0.00013429	0	0.000145357	0.0734226	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0027575174	0.0076984088	-0.006847943	-0.0088437516	-0.0078049506	0.0154447599	0.0005306346	0.013010549	0.0014045795	-0.0153249137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0540597	-0.0254831	-0.0137532	0.000404008	0.00173662	-0.0007896	0.0202067	-0.0137915	-0.01486643	-0.000152535	-0.00033881	0.000148103	0.08083703	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0026511	-0.0020689556	-0.019382698	0.0101469895	0.028151071	-0.0009118262	0.0034650132	0.0027813544	-0.0073473762	-0.0091722454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0475022	-0.0240934	-0.0130959	-7.08408e-05	0.00164687	-0.000794891	0.00655749999999999	0.0013897	0.000657300000000001	-0.0004748488	-8.975e-05	-5.29100000000004e-06	0.03709899	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0018883485	0.0070349029	0.0081103976	0.0215789965	0.0178793739	0.016410671	-0.0007501579	0.0025737338	0.0083451699	-0.0042731917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0540377	-0.0288997	0.00783577	-0.000376772	0.00164687	-0.00100193	-0.00653549999999999	-0.0048063	0.02093167	-0.0003059312	0	-0.000207039	0.05792198	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0049591951	0.0017028116	0.0020950935	0.0083655097	0.0182256992	0.0100754881	-0.0060802502	0.0120138132	0.0117150427	0.0105223173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0459502	-0.0347257	0.00784589	-0.000245516	0.00164687	-0.000631424	0.0080875	-0.005826	1.01199999999971e-05	0.000131256	0	0.000370506	0.03901172	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	-0.0053488134	0.0094031881	-0.006116516	0.0174125786	0.0278950943	0.0090524353	-0.0101737289	0.0026600606	0.0043893833	-0.012511215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.028636	-0.00759457	-0.0253432	-4.32399e-05	0.000991175	-0.00046596	0.0173142	0.02713113	-0.03318909	0.0002022761	-0.000655695	0.000165464	0.128806175	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0044883222	0.0010466106	0.0055364572	0.0093901544	0.0161559373	0.0151650724	-0.0118753574	0.0039968309	0.0107782516	0.0038423026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0203128	0.00657508	0.00683668	-0.000376772	0.000735748	-0.0003436	0.0083232	0.01416965	0.03217988	-0.0003335321	-0.000255427	0.00012236	0.090238685	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	-0.0028311689	-0.0072698667	0.0057112679	0.0035784436	0.0102349026	0.0048705016	-0.0104181996	0.0097594587	0.0137457196	0.0111871264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0123175	-0.0313829	-0.0126239	0.000217796	0.000858267	-0.000189549	0.0079953	-0.03795798	-0.01946058	0.000594568	0.000122519	0.000154051	0.10897076	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	-0.0057431728	-0.0127069595	0.0048692293	0.0059649859	0.0202973992	0.0025718257	-0.0022922444	0.0050566686	0.002915861	-0.0102626072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00599068	0.00559677	-0.0126367	0.000341715	0.000557191	-0.0001095	0.00632682	0.03697967	-1.2800000000002e-05	0.000123919	-0.000301076	8.0049e-05	0.06857149	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	-0.0016887251	-0.0024289338	0.034076676	0.014804327	0.015525841	0.0172539964	-0.0040875926	0.0035145561	-0.0019722567	-0.0094948799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
