"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.239065	0.0540662	-0.162695	0.00656611	-0.00453449	0	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0994337107	-0.0419273864	0.0286866681	0.0734768666	-0.057408324	-0.1160609038	0.0726478523	0.0257901515	-0.0174082279	0.0998829762	0	0	0	0	0	0	0	0	0	0	0	0
0.231032	0.0456682	-0.0506099	0.00534719	-0.00361905	-0.000721534	-0.00803299999999998	-0.008398	0.1120851	-0.00121892	0.00091544	-0.000721534	0.2713108	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0297384189	0.0632691931	0.0336221354	0.044733126	-0.0496301262	-0.0513027799	-0.0037230962	-0.0671762663	0.007306053	-0.0081662087	0	0	0	0	0	0	0	0	0	0	0	0
0.211439	0.0485041	0.0233518	0.00492386	-0.0025724	-0.000852983	-0.019593	0.0028359	0.0739617	-0.000423329999999999	0.00104665	-0.000131449	0.17646205	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0073235199	0.0179842104	0.0734620958	-0.0115563935	-0.0349957337	-0.08707981	-0.026279881	-0.0355599691	0.0108085927	0.0422675764	0	0	0	0	0	0	0	0	0	0	0	0
0.222738	0.0124807	0.00332684	0.00451792	-0.00271046	-0.0011595	0.011299	-0.0360234	-0.02002496	-0.00040594	-0.00013806	-0.000306517	0.10987321	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0211082342	-0.0273024844	0.0492911716	0.0361835225	-0.0519661102	-0.0857495593	0.0575407852	-0.0107838589	0.0074732593	-0.010093549	0	0	0	0	0	0	0	0	0	0	0	0
0.223126	0.0303501	-0.0396695	0.00492357	-0.00256048	-0.00105899	0.000387999999999999	0.0178694	-0.04299634	0.000405650000000001	0.00014998	0.00010051	0.09406074	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0256733911	0.0289293441	0.0525462487	0.0159427006	-0.0316767391	-0.0502878792	-0.0105734984	-0.0389332872	0.0249103689	0.0252216556	0	0	0	0	0	0	0	0	0	0	0	0
0.243585	0.0322068	0.00980954	0.00492357	-0.00220048	-0.00109159	0.020459	0.0018567	0.04947904	0	0.00036	-3.25999999999998e-05	0.09142474	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0331181814	-0.0386646564	0.0236366535	0.0201115472	-0.0030630164	-0.0718530606	-0.0109526872	0.0093058904	-0.0274281436	-0.0118773851	0	0	0	0	0	0	0	0	0	0	0	0
0.228011	0.0261667	0.221188	0.00621853	-0.00271562	0.000247205	-0.015574	-0.0060401	0.21137846	0.00129496	-0.00051514	0.001338795	0.39043731	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0536592418	-0.0643839258	0.0407378225	0.0198899573	-0.0500305326	-0.0369477575	0.0376520555	-0.0770897049	0.0245714828	0.0379358418	0	0	0	0	0	0	0	0	0	0	0	0
0.297785	-0.0281971	0.0688028	0.00702678	-0.00391302	-0.000859364	0.0697739999999999	-0.0543638	-0.1523852	0.00080825	-0.0011974	-0.001106569	0.43213395	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0256800509	0.0254755044	0.0334816005	0.09076791	-0.0659800485	-0.0368391252	0.0347092372	-0.1154568229	0.0358130275	-0.0842331602	0	0	0	0	0	0	0	0	0	0	0	0
0.193675	0.0117467	0.0712367	0.0060932	-0.00271563	-0.00111434	-0.10411	0.0399438	0.0024339	-0.000933580000000001	0.00119739	-0.000254976	0.265785	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.013806457	-0.0696527397	0.0872127165	0.04189579	-0.0374064716	-0.1159751364	0.0381800178	-0.0423150567	0.0327650157	-0.0107739496	0	0	0	0	0	0	0	0	0	0	0	0
0.254148	-0.00990835	0.0618984	0.00573466	-0.00245273	-0.00134819	0.060473	-0.02165505	-0.00933829999999999	-0.000358539999999999	0.0002629	-0.00023385	0.13423085	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0168983433	0.0175140514	0.1028097832	0.0079895422	-0.0112128267	-0.0684934752	0.02119103	-0.0887600568	0.0315651903	0.0164265789	0	0	0	0	0	0	0	0	0	0	0	0
