"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0763786	-0.0928086	-0.0222823	-0.00397111	0.000237926	-0.000171008	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0056603891	-0.0398366483	0.0511572506	-0.0006508527	0.0103667563	0.0062168305	0.1313784417	0.0173097687	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0631571	-0.0927877	0.028724	-0.00326847	0.000430286	-0.000371619	0.0132215	2.09000000000043e-05	0.0510063	0.00070264	0.00019236	-0.000200611	0.11902925	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0039020131	-0.0514251645	0.0459071481	0.0272950528	-0.0734124481	-0.0038827244	0.0390764576	0.0264758216	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0326831	-0.0548739	0.0500964	-0.00378444	0.000321586	-0.000335163	0.030474	0.0379138	0.0213724	-0.00051597	-0.0001087	3.6456e-05	0.1228165	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0044538155	-0.0260569139	0.0201319579	0.009986007	-0.0186653721	-0.0527421463	-0.0215249953	-0.0159545573	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0337428	-0.102334	0.0423791	-0.00334709	0.000478306	-0.000515944	-0.00105970000000001	-0.0474601	-0.0077173	0.00043735	0.00015672	-0.000180781	0.09497965	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.009700774	-0.0421470145	0.0168851257	-0.0161535844	-0.0207459103	-0.0074307619	-0.0392558142	0.0566279045	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0419156	-0.0734983	0.0207448	-0.00379109	0.000280154	-0.000425125	-0.00817279999999999	0.0288357	-0.0216343	-0.000444	-0.000198152	9.08190000000001e-05	0.09529135	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0024588574	-0.0399109188	0.0172455697	-0.0355131713	0.0260522162	-0.0041617367	0.0122929626	0.0508268311	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0505422	-0.073496	0.0763565	-0.00387902	-0.000144643	-0.000425125	-0.0086266	2.29999999999675e-06	0.0556117	-8.793e-05	-0.000424797	0	0.08987695	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0058308783	-0.0237733301	0.0047239798	-0.0293112091	0.0301692765	0.0144796966	0.013502491	0.026334705	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.044038	-0.0734295	0.085428	-0.00301849	4.36417e-05	-0.000140414	0.0065042	6.65000000000249e-05	0.00907149999999999	0.00086053	0.0001882847	0.000284711	0.082318485	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0077910392	-0.0177978746	0.0117393322	0.0033679704	-0.0036721416	0.0101802947	0.0543032775	-0.0031374117	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0176792	-0.0344311	0.0676356	-0.00345206	0.000164514	-0.000425126	0.0263588	0.0389984	-0.0177924	-0.00043357	0.0001208723	-0.000284712	0.125107315	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0031463198	-0.0097872337	0.0172379545	0.0297444558	-0.0272310985	-0.0272066246	0.0033927577	-0.0453748008	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0107734	-0.0652567	0.0930398	-0.00256188	0.000280155	-0.000425126	0.0069058	-0.0308256	0.0254042	0.00089018	0.000115641	0	0.11342665	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	0.0124250804	-0.0084946909	0.0080310307	0.0120586351	-0.019029744	-0.03159343	-0.0439085744	0.0236982608	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0220719	-0.0157061	0.0499039	-0.00267888	0.000280154	-0.00036369	-0.0112985	0.0495506	-0.0431359	-0.000117	-9.99999999961535e-10	6.1436e-05	0.11290685	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0063538569	-0.0037449354	0.0027465116	-0.0076278201	0.0216138057	-0.0146122681	-0.037889111	0.0283921748	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0266025	-0.0441034	0.0949393	-0.00274662	0.000128398	-2.86099e-06	-0.0045306	-0.0283973	0.0450354	-6.77400000000002e-05	-0.000151756	0.00036082901	0.1069795505	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0078932603	-0.0066648516	-0.0082556687	-0.0332352124	0.0504879321	0.0413801165	0.0441634714	0.0109201073	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0195263	-0.0458927	0.0949906	-0.00226637	0.000216847	-3.86686e-05	0.0070762	-0.00178929999999999	5.13000000000041e-05	0.00048025	8.8449e-05	-3.580761e-05	0.0391421305	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.005276875	0.006615409	0.0070691364	0.0233078727	-0.0187534821	-0.0289208335	0.018122347	-0.0390825009	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0291998	-0.0266745	0.083232	-0.00279078	0.000140968	-0.000256372	-0.0096735	0.0192182	-0.0117586	-0.00052441	-7.5879e-05	-0.0002177034	0.08154992	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.0042496491	0.0033455739	0.0076057161	0.0085710633	0.0149844436	-0.0130148095	-0.0405355819	-0.0058767322	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0633684	-0.0487368	0.0463699	-0.0025734	5.55326e-05	-0.000425126	-0.0341686	-0.0220623	-0.0368621	0.00021738	-8.54354e-05	-0.000168754	0.11667147	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0030195964	-0.0078283046	-0.003713175	-0.0095241519	0.0112333981	0.0155393147	-0.0242918212	-0.0026303865	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0818408	-0.0508292	0.017895	-0.00222532	-0.00067178	-0.000877638	-0.0184724	-0.00209239999999999	-0.0284749	0.00034808	-0.0007273126	-0.000452512	0.12543493	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0015254377	-0.0155080026	-0.0034379569	-0.0139053858	-0.0230282761	-0.0036916501	-0.0183797941	0.0133492267	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0300717	-0.00110372	0.00218952	-0.000281183	-0.000216024	-0.000146517	0.0517691	0.04972548	-0.01570548	0.001944137	0.000455756	0.000731121	0.27375076	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	-0.0052685229	0.0013026465	0.0082500524	-0.0229305626	0.0255887028	0.0494632411	0.0492197153	0.0058142713	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0213929	-0.0104453	0.0238931	-0.000351137	0.000227184	-7.07694e-05	0.0086788	-0.00934158	0.02170358	-6.99539999999999e-05	0.000443208	7.57476e-05	0.06916944	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	-4.62746e-05	-0.002846905	0.0040637639	0.037101395	-0.041887968	-0.0388212718	-0.0430619076	-0.0202543515	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0140454	0.0215017	0.0170671	-0.000645835	9.04472e-05	-0.00017587	0.0073475	0.031947	-0.006826	-0.000294698	-0.0001367368	-0.0001051006	0.07294727	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	0.0033008605	0.021010402	-0.0235047912	0.0152830428	-0.0148590956	-0.0331626929	-0.0629347808	0.0022969491	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.014931	-0.0313096	0.0394094	-0.000274293	-5.60243e-05	-1.09151e-05	-0.000885599999999998	-0.0528113	0.0223423	0.000371542	-0.0001464715	0.0001649549	0.11018762	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0052331318	0.0201209293	-0.0277878936	-0.016368979	0.0112280683	0.0119141918	-0.0178988525	0.038723842	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00333046	0.0293878	0.000326692	-0.000401135	0.000463859	-7.00688e-05	0.01826146	0.0606974	-0.039082708	-0.000126842	0.0005198833	-5.91537e-05	0.153335518	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.0051804816	0.0208024089	-0.017473921	-0.0163437975	0.008957686	-0.0092646541	0.0419568494	-0.0342575138	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00547356	-0.0101335	-0.0118608	-7.11241e-05	1.04246e-05	-3.16193e-05	-0.00880402	-0.0395213	-0.012187492	0.0003300109	-0.0004534344	3.84495e-05	0.101607552	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	-0.0044511025	0.0160364625	0.0040969143	0.0282705714	-0.0444588338	-0.0366043115	-0.0279210231	0.003696187	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0112143	0.00666083	-0.014707	-0.000977465	9.77104e-05	-0.000148637	-0.00574074	0.01679433	-0.0028462	-0.0009063409	8.72858e-05	-0.0001170177	0.08091349	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	-0.0051371564	0.0212415416	-0.0081157447	-0.0186133878	0.0176174687	0.0169205726	-0.0269100295	0.0316709263	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00734787	0.0464838	-0.0448934	-0.000369073	-4.42146e-05	2.39469e-05	0.00386643	0.03982297	-0.0301864	0.000608392	-0.000141925	0.0001725839	0.120020845	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.0097428627	0.0094848396	-0.0007684651	-0.0386204574	0.0251265194	0.0376469782	0.0222774496	-0.0009092496	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00391017	0.0180968	-0.00618319	4.62033e-05	-4.42146e-05	1.20499e-05	0.0034377	-0.028387	0.03871021	0.0004152763	0	-1.1897e-05	0.091893575	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	-0.0050424874	0.0084614662	-0.0049893614	-0.000604289	0.030554986	0.0607943243	0.0257786902	-0.0063334999	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00673606	0.0560756	-0.0315872	4.62033e-05	-4.42146e-05	0.000147695	-0.00282589	0.0379788	-0.02540401	0	0	0.0001356451	0.072990955	0.0520866082	0.0512148408	0.049772687	0.0477762082	0.0452476394	0.0422151417	0.0387124883	0.0347786889	0.0304575546	0.0257972105	0.0208495594	0.015669704	0.0103153331	0.0048460789	-0.0006771467	-0.0061928308	-0.0116395445	-0.0169566271	-0.0220848615	-0.0269671338	-0.0315490697	-0.0106193602	0.0141809789	0.0024820037	0.0138425075	-0.0195947387	-0.0080450216	0.0057136723	-0.0385443819	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0195203	0.0287036	-0.0205026	0.000849505	0.000552515	6.44144e-05	-0.01278424	-0.027372	0.0110846	0.0008033017	0.0005967296	-8.32806e-05	0.125406435	0.0520623368	0.0511183183	0.0495576132	0.0473990497	0.0446686685	0.0413994086	0.0376307102	0.0334080384	0.0287823352	0.0238094045	0.0185492395	0.0130652981	0.0074237382	0.0016926191	-0.0040589197	-0.0097614921	-0.0153463027	-0.0207459769	-0.0258953737	-0.030732371	-0.0351986159	-5.63236e-05	0.0150248522	-0.0152221452	0.001216009	-0.008431691	0.0121034913	-0.0527910745	0.0220593386	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0143403	0.0523574	-0.02901	0.00064433	0.000134125	6.0163e-05	0.00518	0.0236538	-0.0085074	-0.000205175	-0.00041839	-4.2514e-06	0.06873202	0.0520370985	0.0510179984	0.0493342563	0.0470078072	0.0440689593	0.0405559987	0.0365146908	0.0319976841	0.0270638244	0.021777388	0.0162072446	0.0104259597	0.0045088495	-0.0014670001	-0.0074237382	-0.0132837629	-0.018970732	-0.024410558	-0.0295323731	-0.0342694522	-0.0385600826	-0.0076077741	0.0294064274	-0.0203628541	-0.0200200781	0.044794246	0.047282681	0.0087697351	0.0041168636	0	0	0	0	0	0	0	0	0	0	0	0	0
