"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0195345	-0.0668713	-0.20493	-0.00432229	0.000284172	-0.00041443	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0213257297	-0.0639358035	0.0219758843	-0.0618684104	0.0846068061	-0.0288688826	0.0925186712	0	0	0	0	0	0
0.0200907	0.0214146	-0.231981	-0.00377237	-0.0003192	-0.000860889	0.0005562	0.0882859	-0.027051	0.00054992	-0.000603372	-0.000446459	0.19588065	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0106603847	-0.071571707	0.0448191849	0.0214783793	0.00578447	0.0602422711	0.0664216069	0	0	0	0	0	0
0.0208882	-0.0823305	-0.20542	-0.00420264	-0.000432156	-0.000860889	0.0007975	-0.1037451	0.026561	-0.00043027	-0.000112956	0	0.1582649	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0129563997	-0.0592833036	0.0232077763	0.0409518751	0.0036602233	0.0137868865	0.0512848546	0	0	0	0	0	0
0.0173738	-0.0355318	-0.166419	-0.0033917	-0.000432155	-0.000474897	-0.0035144	0.0467987	0.039001	0.00081094	1.00000000001575e-09	0.000385992	0.14916075	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0117760877	-0.0441236434	0.0359801429	0.0673228972	-0.0060792182	-0.003325496	0.0322242078	0	0	0	0	0	0
0.0152934	-0.0466853	-0.173195	-0.00349851	-0.000432155	-0.000649146	-0.0020804	-0.0111535	-0.006776	-0.00010681	0	-0.000174249	0.03406285	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0135013644	-0.0535414655	0.0399832646	0.0439259353	0.0188806567	0.0080874406	-0.0239156908	0	0	0	0	0	0
1.93851e-06	-0.0709677	-0.113469	-0.00248565	-1.31651e-05	-0.000540207	-0.01529146149	-0.0242824	0.059726	0.00101286	0.0004189899	0.000108939	0.17633930649	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0136735855	-0.0285662566	0.0244285373	-0.0066465689	0.0726463143	-0.0173973639	-0.0574141144	0	0	0	0	0	0
-0.000159838	-0.0022844	-0.142058	-0.00309131	-0.00051266	-0.000115177	-0.00016177651	0.0686833	-0.028589	-0.00060566	-0.0004994949	0.00042503	0.17394332151	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0168288247	-0.0438034553	0.0338447436	0.0049227112	0.0201569711	0.0456425017	-0.0551441781	0	0	0	0	0	0
0.0190414	-0.0332847	-0.138418	-0.000858316	0.000329553	-0.000115177	0.019201238	-0.0310003	0.00363999999999998	0.002232994	0.000842213	0	0.207601888	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0050286885	-0.0284842704	-0.0147139854	0.0336665176	-0.019681616	0.0353979226	-0.0147375883	0	0	0	0	0	0
0.0193687	-0.0509331	-0.0600759	-0.000520841	0.00022159	-0.000115177	0.000327300000000003	-0.0176484	0.0783421	0.000337475	-0.000107963	0	0.1185897	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0069587979	-0.0084525282	0.0129628113	0.0133412681	0.0513367938	-0.0497023532	-0.0570092288	0	0	0	0	0	0
0.0225371	-0.0145461	-0.0245318	-0.000918588	0.000147748	-0.000115177	0.00316839999999999	0.036387	0.0355441	-0.000397747	-7.3842e-05	0	0.09867895	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0003015221	0.0106209185	0.0011309765	0.0430551606	0.0178859189	-0.0280767571	-0.071627397	0	0	0	0	0	0
