"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0567668	-0.222063	-0.124105	0.000721951	-0.000412248	0.000410774	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0104418232	-0.0321036623	0.0101661635	-0.0328664177	0.0299959238	-0.0175187001	-0.0444514964	0.0013237212	-0.0798095111	-0.0191170398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.027067	-0.0487157	-0.0325131	0.000473656	8.59131e-05	0.000942873	0.0296998	0.1733473	0.0915919	-0.000248295	0.0004981611	0.000532099	0.358566755	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0121507778	0.0167253391	-0.0344502832	-0.0234475504	0.0448726604	0.0224034113	-0.0069992948	-0.0199793027	0.0139033115	-0.0400258193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0647639	-0.00880786	-0.153021	0.00120679	8.59131e-05	1.0794e-05	-0.0376969	0.03990784	-0.1205079	0.000733134	0	-0.000932079	0.28137329	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0182341827	-0.0306364536	0.0007843163	0.0274943562	-0.0220924954	0.0175918536	0.0057317192	-0.0292914663	-0.029968269	0.0114422292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0740751	-0.020865	-0.230118	0.00280324	0.000745734	9.13747e-06	-0.00931120000000001	-0.01205714	-0.077097	0.00159645	0.0006598209	-1.65653e-06	0.2113617115	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0483043543	-0.076845738	-0.0003149571	0.047233105	-0.0817286453	0.0303014711	0.0481381933	-0.0362064927	0.0102319782	0.0495549124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0253374	0.032766	-0.0174014	0.00120269	-0.000556028	0.000591519	0.0487377	0.053631	0.2127166	-0.00160055	-0.001301762	0.00058238153	0.4893199765	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0020535487	-0.0093211958	0.0349763283	0.0445745171	-0.0337927121	0.0133603133	-0.0136398043	0.0214542051	0.0617236734	0.071857564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0344198	-0.108434	-0.0358635	0.00131921	-0.000306028	-9.77603e-05	-0.0090824	-0.1412	-0.0184621	0.00011652	0.00025	-0.0006892793	0.221534465	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0040527857	-0.0058960875	0.0389001068	-0.0304805629	0.0337391687	-0.0049408256	-0.0345820638	-0.023995963	-0.0116752866	0.0308712196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0509871	-0.108428	-0.00935449	0.00100996	-0.000420732	-9.77603e-05	-0.0165673	5.99999999999212e-06	0.02650901	-0.00030925	-0.000114704	0	0.06428001	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0056130158	0.0018167576	-0.0368261532	-0.0049949747	0.0442621012	0.0197344001	0.0290685881	-0.0351673112	0.0107607219	-0.0147247843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0562089	-0.135599	0.000553287	0.000130804	-0.000744321	-9.77603e-05	-0.00522180000000001	-0.027171	0.009907777	-0.000879156	-0.000323589	0	0.102437827	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0073444706	0.016702836	-0.0131806463	0.0053279983	0.0207052454	0.0008859288	0.0134202145	0.0049625656	0.008309514	-0.0244027739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0444988	-0.139359	0.00428712	-0.000763778	-0.000306028	-9.77603e-05	0.0117101	-0.00375999999999999	0.003733833	-0.000894582	0.000438293	0	0.085847683	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	0.0092559605	0.0140000831	-0.0242296036	0.0583982779	-0.0055327996	-0.0097670582	0.033686531	0.0233635895	0.0262404983	-0.0057216284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0362193	-0.126168	-0.0135594	-0.000944227	-0.000644223	-9.77603e-05	0.0082795	0.013191	-0.01784652	-0.000180449	-0.000338195	0	0.06524922	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0109422141	0.0223136859	-0.0201575454	0.0465768333	-0.019941064	-0.012643903	0.0061430827	0.0248461928	0.0192572886	0.014642423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0362054	-0.119334	0.00505665	-0.00102814	-7.82818e-05	-9.77603e-05	1.38999999999972e-05	0.00683400000000001	0.01861605	-8.39130000000001e-05	0.0005659412	0	0.05795666	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0062926818	0.0116780255	0.0108008118	0.068721934	-0.0380876973	-0.019303752	0.0093418163	0.0379154394	0.0303092742	0.0453613693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.023752	-0.098322	-0.0362342	0.00036553	-0.000306028	-0.000268704	0.0124534	0.021012	-0.04129085	0.00139367	-0.0002277462	-0.0001709437	0.164374245	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0099886219	0.008733434	0.0495344269	-0.0035631944	-0.0474813785	-0.0415537754	-0.0312850673	0.0193181731	-0.0250622537	0.0442529789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0182305	-0.119345	0.0142511	-0.000341012	0.000134243	-0.000570605	0.0055215	-0.021023	0.0504853	-0.000706542	0.000440271	-0.000301901	0.1494655	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	0.004805754	0.0006078821	0.0162129933	-0.0486514435	-0.0212000656	0.0192411957	-0.0267096505	0.0132057326	0.0136747643	0.0119007855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0238015	-0.062045	-0.0126955	0.000616769	0.000416535	-0.000180007	-0.005571	0.0573	-0.0269466	0.000957781	0.000282292	0.000390598	0.17135115	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0151541787	0.0308299234	-0.0165181161	-0.0874103187	0.043989649	0.0274898461	-0.0017367435	0.000303727	0.0191087871	-0.0544340005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0172743	-0.0755387	-0.0641896	0.000577992	0.000116743	-0.000570605	0.0065272	-0.0134937	-0.0514941	-3.8777e-05	-0.000299792	-0.000390598	0.10797335	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	-0.0036045445	-0.0086448654	-0.057873704	0.010845891	0.0347711305	0.0091844074	-0.0137223071	-0.0282349294	-0.0230991551	-0.0383114083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00559386	-0.122821	0.00930628	-0.00118607	-0.00119715	-0.000565111	0.02286816	-0.0472823000000001	0.07349588	-0.001764062	-0.001313893	5.49399999999999e-06	0.29781879	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0046190087	0.0267617945	0.0478807993	0.0084669229	-0.0006106255	-0.0395380925	-0.0342877143	0.0228062732	-0.0097763573	-0.0236404723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00278195	-0.0511116	-0.062943	0.000257835	-0.000755629	-0.00039043	-0.00281191	0.0717094000000001	-0.07224928	0.001443905	0.000441521	0.000174681	0.24977594	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.0061599494	0.0198276163	-0.0811918928	-0.038045218	-0.0113736773	0.0193910703	0.0029171759	-0.0177734803	-0.0034150702	-0.0368816715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00554745	0.0146376	0.0398811	-0.000188405	-0.000208279	0.000130778	0.0027655	0.0657492	0.1028241	-0.00044624	0.00054735	0.000521208	0.2470787	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	0.0060817694	0.0099666391	0.0019248266	0.0300332083	-0.0399796697	-0.0215997275	0.0408154992	0.0210824395	0.0066372112	-0.0220098665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00558193	-0.117875	-0.0506983	0.0028011	-0.000422476	0.000130778	3.44799999999999e-05	-0.1325126	-0.0905794	0.002989505	-0.000214197	0	0.38331158	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	0.0022589699	-0.0050458797	0.0879084494	-0.0584493782	0.0243745194	-0.0275618708	-0.0178886441	0.0258176468	-0.0229343024	0.0048369046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0212202	-0.0948408	-0.0300205	0.00134587	0.000313993	0.000380778	0.01563827	0.0230342	0.0206778	-0.00145523	0.000736469	0.00025	0.18143522	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	0.0033691578	0.0176963927	-0.0629146459	-0.0544442266	0.0697000422	0.050440551	-0.0155900868	-0.0348842122	0.0217444801	-0.0264295676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
