"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.09607	-0.0315098	0.252236	-0.000698406	-0.00021676	-0.00260396	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	0.0172114513	0.0738147837	-0.0077042102	7.46511e-05	-0.023087778	-0.016584349	-0.137018925	-0.0268268334	0.0277846989	0.0580358159	0	0	0	0	0	0
-0.0826033	-0.0106476	0.237098	-0.000589156	-9.67555e-05	-0.00232544	0.0134667	0.0208622	-0.015138	0.00010925	0.0001200045	0.00027852	0.074855625	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	0.0157156069	0.0521229623	-0.0244980531	-0.0379717251	-0.0024141773	0.0076716037	-0.0986703638	-0.0650830556	0.0368431105	-0.0428501275	0	0	0	0	0	0
-0.0729714	0.0311133	0.220783	-0.0016629	0.000132886	-0.00219363	0.00963190000000001	0.0417609	-0.016315	-0.001073744	0.0002296415	0.00013181	0.139467575	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	0.0124026842	0.0532040145	-0.0184352533	-0.0004806633	-0.0356075815	0.0092300471	-0.036035807	-0.05239411	0.0287793556	0.011747966	0	0	0	0	0	0
-0.0682359	-0.000178468	0.246368	-0.000630572	0.000342476	-0.0019929	0.0047355	-0.031291768	0.025585	0.001032328	0.00020959	0.00020073	0.133744668	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	0.0185744323	0.0466785885	-0.0033444912	0.0161423423	-0.0284850365	0.024906034	-0.0239572168	-0.0040028072	0.0025025328	0.0511278584	0	0	0	0	0	0
-0.037686	0.0178649	0.219087	-0.000630572	-0.000109478	-0.00171408	0.0305499	0.018043368	-0.027281	0	-0.000451954	0.00027882	0.112412968	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	0.0203708802	-0.0008495764	-0.0041051591	-0.0084993485	-0.0175436693	0.0318143416	0.0193690349	-0.0031601744	0.0155258594	-0.0015423163	0	0	0	0	0	0
-0.0287394	0.0354952	0.204545	-0.000630572	0.000170149	-0.00165579	0.0089466	0.0176303	-0.014542	0	0.000279627	5.82899999999999e-05	0.05801475	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	0.0151272372	-0.0185003062	0.0072619097	0.0034438877	-0.0509221604	0.0320778537	0.0378933932	-0.0120479096	0.0409702916	0.015520315	0	0	0	0	0	0
-0.0287146	0.00733526	0.17563	-0.00112479	9.88747e-05	-0.00149276	2.48000000000054e-05	-0.02815994	-0.028915	-0.000494218	-7.12743e-05	0.00016303	0.093525855	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	0.0059285591	-0.0178342102	0.0197411186	0.0320031237	-0.0612646766	0.0189428777	0.0284649371	0.0016448746	0.0102507097	0.086625922	0	0	0	0	0	0
-0.011984	-0.018408	0.13923	-0.000460378	0.000342476	-0.00128257	0.0167306	-0.02574326	-0.0364	0.000664412	0.0002436013	0.00021019	0.134784025	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	0.0030781892	-0.023104587	-0.009376147	-0.0569340197	0.0088150988	0.0012343948	0.0174582511	-0.0101185546	0.0018862073	-0.0061138243	0	0	0	0	0	0
-0.0287436	0.0223995	0.109704	-0.000465099	0.000332151	-0.00149286	-0.0167596	0.0408075	-0.029526	-4.72100000000001e-06	-1.0325e-05	-0.00021029	0.0983599	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	0.000759607	-0.0035944647	0.0010301383	-0.0164057646	-0.000978889	-0.003195189	0.0234859297	-0.0181748849	0.0297062788	0.0007997716	0	0	0	0	0	0
-0.0287892	-0.0175761	0.0888522	-0.000561848	0.000476099	-0.00134838	-4.56000000000033e-05	-0.0399756	-0.0208518	-9.6749e-05	0.000143948	0.00014448	0.08013185	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	-0.0196857056	0.0010681315	0.0026696672	0.0423085523	0.0072594579	-0.0232183991	0.0168486992	0.0142828804	-0.0268617607	0.0494635564	0	0	0	0	0	0
0.0106136	-0.0313723	0.0944887	-0.000483026	6.88995e-05	-0.000970203	0.0394028	-0.0137962	0.0056365	7.8822e-05	-0.0004071995	0.000378177	0.102045425	0.0512842283	0.051138904	0.0508970017	0.0505589784	0.0501254723	0.0495973023	0.0489754657	0.048261137	0.0474556651	0.0465605712	0.0455775458	0.0445084453	0.0433552888	0.042120254	0.0408056734	0.0394140296	0.0379479508	0.0364102058	0.0348036986	0.0331314631	0.0313966575	0.0296025581	-0.0091235991	-0.0264725885	0.0061750099	0.0069308379	0.0415983507	-0.0186789167	0.0130524571	0.026044731	-0.0460699329	-0.0009076096	0	0	0	0	0	0
0.0598628	-0.0216163	0.0467923	0.000707586	-9.21746e-05	-0.000151019	0.0492492	0.009756	-0.0476964	0.001190612	-0.0001610741	0.000819184	0.215245105	0.0512745577	0.0511002618	0.0508102074	0.0504050515	0.0498857119	0.0492533652	0.0485094437	0.0476556328	0.0466938665	0.0456263236	0.0444554224	0.0431838154	0.0418143832	0.0403502279	0.0387946664	0.0371512224	0.035423619	0.0336157698	0.0317317699	0.0297758875	0.027752553	0.0256663501	-0.0168053342	-0.0088424405	0.0218455815	-0.0206945139	0.0773780954	-0.0329997104	0.0315675701	-0.0107431534	-0.0277964855	-0.0836810954	0	0	0	0	0	0
0.029195	0.0379864	0.104016	-0.00163395	-8.92645e-05	-0.000173201	-0.0306678	0.0596027	0.0572237	-0.002341536	2.91009999999998e-06	-2.2182e-05	0.265825605	0.0512640087	0.0510581178	0.0507155786	0.050237308	0.0496245858	0.048879052	0.0480027017	0.0469978805	0.0458672776	0.0446139188	0.0432411585	0.0417526707	0.040152439	0.0384447462	0.0366341627	0.0347255342	0.0327239687	0.0306348232	0.0284636888	0.0262163763	0.0238989001	0.0215174627	-0.0063746436	0.0013732452	-0.0042818224	0.0323745286	0.0125419653	-0.0078006524	-6.20296e-05	0.0090782695	-0.0307987882	-0.0154929179	0	0	0	0	0	0
-0.00235233	-0.0642882	0.11478	-0.00139137	-8.92645e-05	-0.000430909	-0.03154733	-0.1022746	0.010764	0.000242579999999999	0	-0.000257708	0.16960033	0.0512525814	0.0510124748	0.0506131302	0.0500557939	0.0493422058	0.0484745935	0.0474556651	0.0462886013	0.0449770452	0.0435250908	0.0419372706	0.040218541	0.038374267	0.0364102058	0.0343324881	0.0321475998	0.029862361	0.0274839053	0.0250196571	0.0224773087	0.0198647963	0.0171902747	0.0076436894	-0.0018198348	-0.0237389857	-0.0366062625	-0.0253020306	0.0125758517	-0.0331108162	0.0149690212	0.0136729969	-0.036530259	0	0	0	0	0	0
-0.0125241	0.021414	0.0809069	-0.00160312	-8.92645e-05	-0.000302109	-0.01017177	0.0857022	-0.0338731	-0.00021175	0	0.0001288	0.14677457	0.051240276	0.050963336	0.0505028777	0.049860559	0.049038693	0.0480402391	0.0468687929	0.0455285727	0.0440244045	0.042361705	0.0405464614	0.0385852104	0.0364850145	0.0342534364	0.0318985121	0.0294287216	0.0268529586	0.0241804983	0.0214209644	0.0185842938	0.0156807013	0.0127206428	-0.0035769653	0.0190800322	-0.0297575897	-0.0294802695	-0.0385088604	0.0056260827	-0.036494793	-0.0174172946	0.0354623381	-0.018135473	0	0	0	0	0	0
0.00428734	-0.0691912	0.0615453	0.000146675	8.73404e-05	-0.000391072	0.01681144	-0.0906052	-0.0193616	0.001749795	0.0001766049	-8.8963e-05	0.227546385	0.0512270927	0.0509107048	0.0503848382	0.0496516568	0.0487141772	0.0475762569	0.0462425779	0.044718628	0.0430106775	0.041125754	0.0390716134	0.0368567075	0.0344901501	0.0319816784	0.0293416141	0.0265808199	0.0237106555	0.0207429306	0.0176898562	0.0145639947	0.0113782077	0.0081456036	-0.0042709643	0.0202445755	-0.0149602404	0.0042527492	-0.0381959452	-0.0071791073	-0.0104569864	0.0193374276	-0.0058976157	0.0211212281	0	0	0	0	0	0
-0.00107109	0.0200133	0.0393865	0.000101826	7.84035e-05	-0.000400972	-0.00535843	0.0892045	-0.0221588	-4.4849e-05	-8.93690000000003e-06	-9.90000000000002e-06	0.119906025	0.0512130319	0.0508545847	0.05025903	0.0494291445	0.0483687975	0.0470829328	0.0455775458	0.0438596552	0.0419372706	0.0398193552	0.0375157835	0.0350372959	0.0323954483	0.0296025581	0.0266716472	0.0236163807	0.0204510037	0.0171902747	0.0138493968	0.0104439465	0.0069898018	0.0035030673	0.0008722675	-0.0282425289	-0.0122586941	-0.0351772665	0.0133002899	0.0075530964	0.0262910835	0.0017990762	0.0073446358	-0.0325867232	0	0	0	0	0	0
0.0042506	0.00559781	0.0521193	-0.000307016	-6.41534e-05	-0.000572646	0.00532169	-0.01441549	0.0127328	-0.000408842	-0.0001425569	-0.000171674	0.068623625	0.0511980936	0.0507949796	0.0501254723	0.0491930831	0.0480027017	0.0465605712	0.0448742547	0.042952596	0.0408056734	0.0384447462	0.0358821964	0.0331314631	0.0302069725	0.0271240621	0.0238989001	0.0205484008	0.0170901359	0.013542242	0.0099233262	0.0062523676	0.0025486187	-0.0011684964	0.0049207628	-0.0197191584	0.0165807636	0.0526612282	0.005846301	-0.0019047362	0.0045536674	0.0270215976	-0.0395076896	0.0564383146	0	0	0	0	0	0
0.00424699	-0.0125614	0.0233412	0.00058178	-6.41534e-05	-0.000362886	-3.61000000000024e-06	-0.01815921	-0.0287781	0.000888796	0	0.00020976	0.10186872	0.0511822782	0.0507318935	0.0499841859	0.0489435374	0.0476160468	0.0460094942	0.044133295	0.041998445	0.039617456	0.037004282	0.034174238	0.03114391	0.0279310578	0.0245545108	0.0210340579	0.0173903312	0.0136446855	0.0098190728	0.0059359137	0.0020179662	-0.001911808	-0.0058303776	0.0059008385	-0.0360801469	-0.0034278942	-0.0275115068	0.0675999121	-0.00084469	0.0210886997	0.0199623792	-0.0204813087	-0.0602972865	0	0	0	0	0	0
0.00423844	0.0313234	0.00410099	-0.000147661	-6.41534e-05	1.4059e-05	-8.5500000000004e-06	0.0438848	-0.01924021	-0.000729441	0	0.000376945	0.11845286	0.0511655859	0.0506653309	0.0498351925	0.0486805757	0.0472089983	0.0454300417	0.0433552888	0.0409982483	0.038374267	0.0355004298	0.0323954483	0.029079539	0.025574292	0.0219025301	0.0180881602	0.0141560177	0.0101317049	0.0060414244	0.001911808	-0.0022302563	-0.0063577993	-0.0104439465	0.0010338634	-0.0176117692	0.0156064999	0.0334383827	0.0418705798	-0.0016016786	0.0367889314	0.0041328222	-0.0315324879	-0.0154986513	0	0	0	0	0	0
0.00424645	0.00809251	0.0177522	8.68308e-05	-0.000378306	-5.1981e-05	8.01000000000014e-06	-0.02323089	0.01365121	0.0002344918	-0.0003141526	-6.604e-05	0.06762433	0.051148017	0.0505952962	0.049678515	0.0484042702	0.0467817305	0.044822571	0.042540889	0.0399531023	0.0370778316	0.0339357659	0.030549514	0.026943442	0.0231434973	0.0191770227	0.0150725591	0.0108596403	0.0065685806	0.0022302563	-0.0021241158	-0.0064632038	-0.0107557855	-0.0149709736	0.002375537	-0.0212078136	0.0129944694	0.0674299685	0.049692549	0.0081528318	0.0396117861	0.0444885852	-0.0710304377	0.0044582301	0	0	0	0	0	0
0.000782639	0.00810098	0.00768985	0.000625413	-6.41534e-05	5.20474e-05	-0.003463811	8.47000000000001e-06	-0.01006235	0.0005385822	0.0003141526	0.0001040284	0.061372791	0.0511295719	0.0505217943	0.0495141777	0.0481146965	0.0463344264	0.0441874568	0.0416907793	0.0388641531	0.0357299485	0.0323129704	0.0286402612	0.0247408876	0.0206457099	0.0163871381	0.0119988754	0.0075156513	0.002972947	-0.0015932859	-0.0061469092	-0.0106518847	-0.0150725591	-0.0193739464	0.0176043585	-0.0492474763	0.0191143428	-0.0023139783	0.0361980564	0.0280634474	0.0605337319	0.0298845508	-0.0050283248	-0.0196545641	0	0	0	0	0	0
0.0188023	0.0277421	-0.0131118	7.59995e-05	-6.41534e-05	4.2134e-05	0.018019661	0.01964112	-0.02080165	-0.0005494135	0	-9.91340000000001e-06	0.086428776	0.0511102507	0.0504448302	0.0493422058	0.047811934	0.0458672776	0.0435250908	0.0408056734	0.0377325944	0.0343324881	0.0306348232	0.0266716472	0.0224773087	0.0180881602	0.013542242	0.0088789537	0.0041387117	-0.0006374004	-0.0054079881	-0.0101317049	-0.0147676106	-0.0192755259	-0.0236163807	0.0064500335	-0.0243937267	0.0253693847	0.006124243	-0.041925708	0.0229246191	0.046645991	-0.0015071739	0.0470139764	0.0165017744	0	0	0	0	0	0
