"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0978138	-0.144597	-0.474258	0.00117938	0.000368081	-0.000472126	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	-0.0338038849	-0.003700777	-0.0170013623	0.0664903143	-0.0032091279	0.0258967535	-0.0506746764	0.0311935603	-0.0527146451	0.031417875	0	0	0	0
-0.0666663	-0.0869782	-0.462012	0.00121837	-0.00011914	-0.0002416	0.0311475	0.0576188	0.012246	3.899e-05	-0.000487221	0.000230526	0.13884915	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	-0.0374051793	0.0142178101	-0.0388116448	0.0735092105	-0.0219651989	-0.0386727384	-0.0383671596	0.0324391434	0.0114832782	0.0436367039	0	0	0	0
-0.0144405	-0.163635	-0.37428	0.0011739	-2.57328e-05	-6.47876e-05	0.0522258	-0.0766568	0.087732	-4.447e-05	9.34072e-05	0.0001768124	0.23234908	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	-0.0202728698	-0.000562623	-0.0038488108	0.0676184545	-0.0094621162	0.0068107109	-0.0446454166	0.0234704156	0.00305836	0.0404266063	0	0	0	0
-0.0356617	-0.0513456	-0.266703	-0.000985645	0.00047199	-0.000472126	-0.0212212	0.1122894	0.107577	-0.002159545	0.0004977228	-0.0004073384	0.39431791	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	-0.0199979067	-0.0008017648	-0.0058933724	0.0267898212	0.0104322869	0.0640203367	-0.0490754009	0.0104800446	0.0005252703	0.0445354981	0	0	0	0
-0.0144222	-0.11218	-0.219096	-0.000607721	0.000400403	-0.000472126	0.0212395	-0.0608344	0.047607	0.000377924	-7.1587e-05	0	0.15215645	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	-0.0266849917	-0.0091942115	-0.0741284651	-0.0473004349	0.0528783451	0.0726027943	-0.0516027621	0.0344909775	0.0027118006	0.0267179646	0	0	0	0
-0.0144916	-0.056212	-0.180006	-0.000377161	0.000296536	-0.000472126	-6.9399999999999e-05	0.055968	0.03909	0.00023056	-0.000103867	0	0.11184875	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	-0.0146085032	-0.0122287768	-0.0672559428	-0.0434356308	-0.034175879	0.013052228	-0.0007969525	0.014391539	0.0205189258	-0.0199046891	0	0	0	0
-0.0145197	-0.0965174	-0.175078	-0.000419074	0.000109218	-0.000472126	-2.80999999999997e-05	-0.0403054	0.00492800000000002	-4.1913e-05	-0.000187318	0	0.05672305	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	-0.0051142031	-0.0324120903	0.0177783675	0.0282690456	-0.0044354759	-0.0156518175	0.0453780213	-0.0256634073	-0.0071010441	-0.0154710504	0	0	0	0
-0.00412021	-0.0103412	-0.21516	-0.000437555	0.000187697	-0.000270197	0.01039949	0.0861762	-0.040082	-1.8481e-05	7.8479e-05	0.000201929	0.15160214	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	-0.0180650335	-0.0069900448	-0.0061124751	0.0054762084	-0.0014052984	-0.0241296703	0.0193248247	-0.0132483923	-0.0143818771	-0.0210588746	0	0	0	0
-0.0144639	-0.125622	-0.190014	-0.000297953	0.00023603	-0.000472126	-0.01034369	-0.1152808	0.025146	0.000139602	4.8333e-05	-0.000201929	0.17026369	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	-0.0092916409	-0.0171471639	0.0182304649	0.02302568	0.0173009415	0.0064231874	-0.0135059222	-0.0096581537	0.0277234095	-0.0063605713	0	0	0	0
-0.01454	-0.0332385	-0.145337	-0.000221839	0.000406547	-0.000268454	-7.60999999999991e-05	0.0923835	0.044677	7.6114e-05	0.000170517	0.000203672	0.15965175	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	-0.0083863993	-0.0226032304	-0.0230693439	-0.0277826958	0.0678837967	0.0104595507	0.0124875258	8.02187e-05	0.0175973929	-0.0204577728	0	0	0	0
