"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.000230582	-0.115524	-0.0156825	0.00151215	0.000723378	0.000922632	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	0.0598625973	0.0074613997	-0.0384439255	0.0201656286	-0.0730972952	-0.0873058271	0.0565467947	0.0142654204	-0.0553497545	-0.0024437184	0	0	0	0	0	0	0
0.00249574	0.0642037	-0.0200163	0.00259393	0.000613958	0.000349292	0.002726322	0.1797277	-0.0043338	0.00108178	-0.00010942	-0.00057334	0.275014822	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0248962455	0.052958787	0.0046727406	0.0174855167	-0.0379297468	-0.0715051458	0.0227519818	-0.0306185567	0.0058451166	0.0008970919	0	0	0	0	0	0	0
0.00193855	0.0369594	-0.0253026	0.00131429	0.000307726	0.000544135	-0.00055719	-0.0272443	-0.0052863	-0.00127964	-0.000306232	0.000194843	0.12212354	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0653451153	0.0613995272	-0.0260159798	0.0131193859	0.0387857	-0.1058962603	-0.0079259138	-0.0198352388	-0.0388506495	-0.0028765932	0	0	0	0	0	0	0
-0.000175408	0.0931775	0.0253166	0.00116876	0.000174884	0.000182685	-0.002113958	0.0562181	0.0506192	-0.00014553	-0.000132842	-0.00036145	0.140942358	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0693428714	0.0328653783	0.0735909655	0.07011733	0.1981780368	-0.0027380473	-0.0341437298	-0.0209422376	-0.1081545219	-0.0627204457	0	0	0	0	0	0	0
-0.000235204	0.0396603	0.0253211	0.00130986	0.000174884	0.000697393	-5.9796e-05	-0.0535172	4.50000000000103e-06	0.0001411	0	0.000514708	0.086371896	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0404354701	-0.070580622	-0.00879161	0.0164440201	0.1040286069	0.1259328538	-0.1065356719	0.0140290518	0.0126025534	-0.0076143654	0	0	0	0	0	0	0
-0.0162977	0.0571209	0.0926306	0.000588129	0.00030531	2.90068e-05	-0.016062496	0.0174606	0.0673095	-0.000721731	0.000130426	-0.0006683862	0.176859756	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0541659198	-0.1070605387	0.002435197	0.0089739413	0.0104334996	0.1100205714	-0.0572331701	0.025062623	0.0187968937	0.0101442042	0	0	0	0	0	0	0
-0.0163371	-0.0334013	0.040915	0.000895811	0.000174884	0.000547495	-3.93999999999985e-05	-0.0905222	-0.0517156	0.000307682	-0.000130426	0.0005184882	0.19010701	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0238682353	-0.0976138369	0.0275057878	-0.0387147079	-0.0563742337	0.0819972824	-0.0200023352	-0.0370601403	0.0179798123	-0.0117816675	0	0	0	0	0	0	0
0.00298731	0.00556272	0.0479695	0.00109156	0.000174884	0.000380702	0.01932441	0.03896402	0.0070545	0.000195749	0	-0.000166793	0.08347003	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0470588649	-0.0231927955	0.024634253	-0.0581392767	-0.0053420148	0.045052698	0.0040861314	0.029462902	0.0582418101	-0.0152141102	0	0	0	0	0	0	0
-0.0161788	-0.0332508	0.0608509	4.01492e-05	0.000174884	-9.92139e-05	-0.01916611	-0.03881352	0.0128814	-0.0010514108	0	-0.0004799159	0.147427365	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0702781547	0.0026476417	0.0453124478	0.0709408694	-0.012747546	0.0643691255	0.0595544044	-0.0170924575	0.0286122484	0.0400541275	0	0	0	0	0	0	0
-0.00165025	-0.0697509	0.0383359	-0.00111933	0.000700485	0.000380702	0.01452855	-0.0365001	-0.022515	-0.0011594792	0.000525601	0.0004799159	0.181793455	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0350916012	-0.0156605436	-0.0418830327	-0.0194144355	-0.0117483772	0.0111936239	-0.0094401131	-0.0126236404	0.0356804123	0.0355115712	0	0	0	0	0	0	0
0.00518086	-0.0234548	0.0494656	-0.000510393	0.000285949	0.000380702	0.00683111	0.0462961	0.0111297	0.000608937	-0.000414536	0	0.11543056	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	0.0048232413	-0.030325545	-0.0317864491	0.0036313512	-0.039127586	-0.0031711263	0.0048203256	0.0497027535	-0.0043571555	0.0799278189	0	0	0	0	0	0	0
-0.0161639	-0.0429132	0.0237755	0.000621744	0.000121424	-0.000132344	-0.02134476	-0.0194584	-0.0256901	0.001132137	-0.000164525	-0.000513046	0.15697866	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0388691838	-0.0212023994	0.0320275591	-0.02699969	-0.0709879445	0.0044343652	0.0150984655	-0.0560691227	-0.0129985715	-0.0285930475	0	0	0	0	0	0	0
0.0066209	0.00840059	-0.00126279	0.000621744	6.77081e-05	-0.00026595	0.0227848	0.05131379	-0.02503829	0	-5.37159e-05	-0.000133606	0.108502975	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.0158849136	0.0460474543	0.0268571503	-0.0530466704	0.0438072232	-0.0245310082	0.0107013275	0.0042624262	0.0237948455	-0.0316403494	0	0	0	0	0	0	0
-0.00589497	0.00942325	0.0337601	0.000871744	0.000247765	-0.000313441	-0.01251587	0.00102266	0.03502289	0.00025	0.0001800569	-4.7491e-05	0.072438815	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	-0.0394549637	0.0216162252	0.040653962	0.0175871781	0.0265163556	0.0065222943	0.0282632353	0.0036756711	-0.0012064028	-0.0065000203	0	0	0	0	0	0	0
-0.00125266	0.00825069	0.0043297	0.000621744	0.000121424	-0.00024497	0.00464231	-0.00117256	-0.0294304	-0.00025	-0.000126341	6.8471e-05	0.05748587	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	-0.0357510359	-0.0236401055	-0.0518747337	-0.0013556378	0.0217299528	0.0036015842	-0.0354698203	-0.0092540915	0.0053563708	0.022701489	0	0	0	0	0	0	0
0.0117998	0.052828	0.0331299	-3.35856e-05	0.00045505	0.000533762	0.01305246	0.04457731	0.0288002	-0.0006553296	0.000333626	0.000778732	0.17481435	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0107063993	-0.0457606128	-0.0090441908	-0.0089454793	-0.0061804481	0.0027583289	-0.0322545016	0.0392834666	-0.019608902	0.0109411898	0	0	0	0	0	0	0
-0.0161585	0.0018245	0.0452587	0.000185086	0.000121424	-0.00024515	-0.0279583	-0.0510035	0.0121288	0.0002186716	-0.000333626	-0.000778912	0.15765108	0.0522459219	0.0518495163	0.0511910666	0.0502739006	0.0491026536	0.0476832451	0.0460228486	0.0441298556	0.0420138333	0.0396854757	0.0371565505	0.0344398384	0.0315490697	0.028498854	0.025304607	0.0219824722	0.0185492395	0.0150222601	0.0114193591	0.0077587455	0.0040589197	0.0250844264	-0.0633974597	0.0059359011	0.0156032932	-0.0145445915	0.0208255143	0.0043677255	-0.0387046857	-0.0524178082	-0.0227922947	0	0	0	0	0	0	0
0.00395998	0.00678181	0.0329534	-0.000914489	0.000568703	0.000104897	0.02011848	0.00495731	-0.0123053	-0.001099575	0.000447279	0.000350047	0.13222614	0.0522294002	0.0517836067	0.051043434	0.0500130897	0.0486984311	0.0471069319	0.0452476394	0.0431311232	0.0407694154	0.0381759417	0.0353654455	0.032353904	0.0291584371	0.0257972105	0.0222893319	0.018654743	0.0149141057	0.0110886847	0.0072002268	0.0032708371	-0.0006771467	-0.0102331948	-0.0628694719	0.0060439055	-0.0490891376	-0.0244060902	0.0423250181	-0.0334977211	0.0217458543	0.0271760728	-0.0327374729	0	0	0	0	0	0	0
-0.0118086	0.0327247	0.0689415	-2.10807e-05	0.00025054	-0.000232312	-0.01576858	0.02594289	0.0359881	0.0008934083	-0.000318163	-0.000337209	0.155138585	0.0522119084	0.0517138504	0.0508872699	0.0497374181	0.0482715996	0.0464991262	0.044431258	0.0420811315	0.0394636764	0.0365955205	0.0334948844	0.0301814655	0.0266763128	0.0230016937	0.0191809517	0.015238359	0.0111989617	0.0070884207	0.0029328492	-0.0012413539	-0.005407671	-0.06197515	0.0087638567	0.0323280673	-0.0035403605	-0.0447561524	0.0478490808	0.0463642586	0.0525766537	0.0548648107	-0.0135650231	0	0	0	0	0	0	0
-0.016212	-0.012777	0.0198744	0.000294278	0.000568703	-0.000411408	-0.0044034	-0.0455017	-0.0490671	0.0003153587	0.000318163	-0.000179096	0.139603085	0.0521934471	0.0516402525	0.0507226006	0.0494469678	0.0478223571	0.0458602343	0.0435744473	0.0409811285	0.0380985803	0.0349471469	0.0315490697	0.0279283311	0.024110485	0.0201224762	0.0159924506	0.0117495564	0.0074237382	0.0030455261	-0.0013541801	-0.0057443291	-0.0100939368	-0.0132269757	0.0159566777	-0.0588863916	0.0174515662	-0.0329149967	-0.0224010912	0.0105959435	-0.0281158637	0.0205496683	0.0996410691	0	0	0	0	0	0	0
0.00427555	0.000133916	-0.00930252	0.000294278	0.000138625	0.000210852	0.02048755	0.012910916	-0.02917692	0	-0.000430078	0.00062226	0.115192286	0.0521740164	0.0515628185	0.0505494535	0.0491418251	0.0473509122	0.0451906832	0.042677987	0.0398324213	0.0366761804	0.0332338815	0.0295323731	0.0256005252	0.0214690046	0.0171700353	0.0127371473	0.0082049152	0.0036086884	-0.0010156846	-0.0056321357	-0.0102046586	-0.0146975897	0.0547948368	-0.0058230945	-0.0296542597	-0.0585861625	-0.050581816	-0.0364426973	-0.0297847624	0.0080882374	0.0076471904	0.0245360485	0	0	0	0	0	0	0
-0.0161917	-0.0127935	0.0429006	-0.000132258	6.22985e-05	-0.000210884	-0.02046725	-0.012927416	0.05220312	-0.000426536	-7.63265e-05	-0.000421736	0.131827711	0.0521536168	0.0514815542	0.0503678575	0.0488220806	0.0468574839	0.0444909208	0.0417426926	0.0386363752	0.0351986159	0.0314589057	0.0274493255	0.0232042715	0.0187601599	0.0141551145	0.0094286395	0.004621281	-0.0002257211	-0.0050707869	-0.009872353	-0.0145892291	-0.0191809517	0.0084376107	0.0539926593	0.0473114165	0.0127649785	-0.0439047863	-0.0175073319	0.0500037972	0.0521616193	0.019346938	-0.0402974026	0	0	0	0	0	0	0
-0.0161911	-0.0128044	-0.00837744	0.000335777	6.22985e-05	-0.000175808	5.99999999999906e-07	-1.08999999999977e-05	-0.05127804	0.000468035	0	3.5076e-05	0.07644509	0.0521322486	0.0513964655	0.050177843	0.0484878293	0.0463423012	0.0437614146	0.0407694154	0.0373944116	0.0336681095	0.0296255153	0.025304607	0.0207459769	0.0159924506	0.0110886847	0.0060807472	0.0010156846	-0.0040589197	-0.0090953929	-0.0140464202	-0.0188654898	-0.0235073292	-0.0160003206	0.0691240008	-0.0495527953	0.0114923158	-0.0118026584	-0.0195324235	0.0186661785	-0.0333369735	0.0269715099	0.0376749089	0	0	0	0	0	0	0
-0.00381672	0.00715029	-0.00840595	2.32181e-05	6.22985e-05	-0.000347872	0.01237438	0.01995469	-2.85100000000007e-05	-0.0003125589	0	-0.000172064	0.056588725	0.0521099123	0.0513075588	0.0499794418	0.0481391707	0.0458056033	0.0430026525	0.0397590408	0.0361080066	0.0320869629	0.0277371148	0.0231030362	0.0182322141	0.0131745611	0.0079819045	0.0027074549	-0.0025947387	-0.0078703433	-0.0130652981	-0.018126369	-0.0230016937	-0.0276413132	0.0435867618	0.0155199111	-0.0514903623	-0.0328167005	-0.0384161571	-0.0204143232	-0.0235068025	0.0131123086	0.014153189	0.0031743671	0	0	0	0	0	0	0
