"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0196538	-0.0141015	-0.0205333	-0.000877035	0	0.000598472	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0140351906	0.0022806293	-0.0025394562	0.0200640752	0.0158392634	0.0229774283	0.0434858898	-0.0464935916	0	0	0	0
-0.0196273	-0.036994	-0.0185333	-9.26511e-05	-0.000247143	0.000163167	2.64999999999988e-05	-0.0228925	0.002	0.0007843839	-0.000247143	-0.000435305	0.098260595	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-7.3742e-06	0.0395024034	-0.0101273681	0.0003292853	0.0388648894	-0.0086960863	-0.0093716495	-0.0001750951	0	0	0	0
-0.0118766	-0.0369877	-0.0185259	0.000121267	0	0.000673594	0.0077507	6.30000000000075e-06	7.39999999999769e-06	0.0002139181	0.000247143	0.000510427	0.056338805	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0139908271	0.0374935504	-0.0139903708	-0.0130776666	0.0202783141	0.0079721119	0.0048869449	0.0107134185	0	0	0	0
-0.019604	-0.0397204	-0.00662356	0.000176755	0	0.000169678	-0.0077274	-0.00273270000000001	0.01190234	5.5488e-05	0	-0.000503916	0.05033264	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0133230434	0.0065363357	-0.0178749051	-0.0161310323	-0.0045036758	-0.0448634296	0.0135093838	0.0266548846	0	0	0	0
-0.019607	-0.0733971	-0.0187145	-0.00114656	-0.000144982	0.000235385	-2.99999999999953e-06	-0.0336767	-0.01209094	-0.001323315	-0.000144982	6.5707e-05	0.12247084	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0139744963	-0.0230810577	-0.0038313615	-0.0234665617	-0.0321068376	-0.0155333959	0.0247795638	0.0024598501	0	0	0	0
-0.0196078	-0.0277096	0.0019454	-0.00114656	-9.45533e-05	0.000235385	-8.00000000002188e-07	0.0456875	0.0206599	0	5.04287e-05	0	0.068869635	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0055573713	-0.0459538658	-0.010893686	-0.0224164477	-0.036534183	0.0087686025	0.0185500541	0.0098290738	0	0	0	0
-0.0195745	-0.0623151	-0.00459304	-0.000866705	0	7.97476e-05	3.33e-05	-0.0346055	-0.00653844	0.000279855	9.45533e-05	-0.0001556374	0.067679525	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0088287808	-0.0583906188	-0.0059411061	-0.0158817163	-0.0445270241	-0.0014497185	0.0167091136	0.0188454915	0	0	0	0
-0.0195766	-0.0273574	0.00200758	-0.000843199	-0.000377613	6.46329e-05	-2.09999999999794e-06	0.0349577	0.00660062	2.35059999999997e-05	-0.000377613	-1.51147e-05	0.062372105	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0075411569	-0.0736791603	-0.0006849327	-0.0051963372	-0.0704577753	0.0191776233	0.000506268	-0.0118772986	0	0	0	0
-0.0196234	-0.0529588	-0.0323554	-0.00046405	-0.000395112	0.000235385	-4.67999999999996e-05	-0.0256014	-0.03436298	0.000379149	-1.7499e-05	0.0001707521	0.088381185	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	0.0085678673	-0.0551732331	0.0257024501	-0.0048559741	-0.0531809948	0.0293968369	-0.0111565883	-0.0062554713	0	0	0	0
-0.0196055	-0.0530016	0.0193955	-0.00135358	-0.000139388	0.000235385	1.78999999999978e-05	-4.27999999999887e-05	0.0517509	-0.00088953	0.000255724	0	0.1090743	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0038112932	0.0092668201	0.0244174027	0.0067711508	0.0157265537	-2.47953e-05	-0.0223959082	-0.0306380549	0	0	0	0
