"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0404913	-0.0584206	-0.101802	-0.00258219	0.000407798	0.00158535	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.024408578	-0.0372724468	-0.0196299475	-0.0119500546	0.0052085927	0.0102993935	0.0311415635	0.0028036942	0.0058098295	-0.0428460336	0	0	0	0	0	0	0	0	0
0.0281773	-0.0412376	-0.0861165	-0.0023483	0.000407798	0.00154552	-0.012314	0.017183	0.0156855	0.00023389	0	-3.98299999999998e-05	0.0588685	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0118977448	-0.0500597963	0.007660603	-0.0505863591	-0.0060432187	0.0141176494	0.0503517116	0.0537427299	-0.0120919445	-0.03877277	0	0	0	0	0	0	0	0	0
0.0404402	-0.0667169	-0.119324	-0.00193393	-8.87231e-05	0.00154552	0.0122629	-0.0254793	-0.0332075000000001	0.00041437	-0.0004965211	0	0.116494255	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0133907444	-0.0566464251	0.0350355034	-0.0158686641	0.0035941142	-0.0564637022	0.0019423412	0.0372244727	-0.0188512691	-0.0251047173	0	0	0	0	0	0	0	0	0
0.0223323	-0.0667022	-0.075634	-0.00338356	0.000171286	0.00129908	-0.0181079	1.47000000000064e-05	0.04369	-0.00144963	0.0002600091	-0.00024644	0.159616555	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0249562781	-0.054210583	0.0493389471	0.015379753	-0.0029748655	-0.0449479092	-0.0115105996	0.0314106743	-0.0116533673	0.0147805671	0	0	0	0	0	0	0	0	0
0.0405164	-0.044158	-0.080575	-0.00363229	-0.00016429	0.0011448	0.0181841	0.0225442	-0.00494099999999999	-0.00024873	-0.000335576	-0.00015428	0.0825986	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0209806334	-0.0617046028	0.011058966	0.066418681	-0.0398949319	-0.0025306963	0.0429875066	0.0057596908	0.0412388567	0.028094821	0	0	0	0	0	0	0	0	0
0.017682	-0.0319428	-0.0652703	-0.00198327	0.000407798	0.000849591	-0.0228344	0.0122152	0.0153047	0.00164902	0.000572088	-0.000295209	0.17617015	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.012488451	-0.042117229	-0.0370268667	0.0102905487	-0.0415580554	-0.0009036079	0.0358254228	0.0210725828	0.0492256496	-0.0437105133	0	0	0	0	0	0	0	0	0
0.0413415	-0.0602237	-0.124612	-0.00185127	0.000407798	0.000962545	0.0236595	-0.0282809	-0.0593417	0.000132	0	0.000112954	0.1235298	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0121025919	-0.0376051763	-0.050452443	0.0250902643	-0.0013036747	-0.047165462	-0.001235584	0.0011081601	0.0258398488	0.0160972236	0	0	0	0	0	0	0	0	0
0.0197895	-0.0473526	-0.101179	-0.00216484	0.000407798	0.000722375	-0.021552	0.0128711	0.023433	-0.00031357	0	-0.00024017	0.0855431	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0130354625	-0.0622287205	-0.0368164196	-0.0362755565	-0.0153087806	0.0275307761	0.0785619236	0.0341952473	0.0270936185	-0.0087359505	0	0	0	0	0	0	0	0	0
0.032067	-0.0787836	-0.12475	-0.00260051	-7.87137e-05	0.000980629	0.0122775	-0.031431	-0.0235710000000001	-0.00043567	-0.0004865117	0.000258254	0.126301285	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0239322357	-0.0519048077	-0.0316917476	-0.0282453619	-0.007713647	-0.0686203723	-0.020951572	0.0374868557	0.0249689374	-0.0565898698	0	0	0	0	0	0	0	0	0
0.0485691	-0.0430432	-0.124592	-0.0014622	-8.24311e-06	0.000722375	0.0165021	0.0357404	0.000158000000000047	0.00113831	7.047059e-05	-0.000258254	0.1257522295	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0185311192	-0.0495093599	-0.0095444115	-0.0245387578	0.016760646	0.0031435534	0.0501758947	0.0359139378	-0.00973522	0.0266835495	0	0	0	0	0	0	0	0	0
