"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0151338	-0.128725	-0.0682493	0.00144452	0.000837281	0.000502409	0.0151338	-0.128725	-0.0682493	0.00144452	0.000837281	0.000502409	0.3513186	0.0524141198	0.0524137538	0.0524131437	0.0524122897	0.0524111916	0.0524098495	0.0524082634	0.0524064334	0.0524043593	0.0524020413	0.0523994793	0.0523966733	0.0523936235	0.0523903296	0.0523867919	0.0523830103	0.0523789848	0.0523747155	0.0523702023	0.0523654453	0.0523604445	-0.0265478569	0.0283364889	-0.0390843986	0.0469736594	-0.0182657485	0.0520178336	-0.0020944913	-0.0410149542	0.0406923545	-0.0155404909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-7.80695e-05	-0.0433049	0.00351085	0.000802627	5.29396e-23	0.000408119	-0.0152118695	0.0854201	0.07176015	-0.000641893	-0.000837281	-9.429e-05	0.2510653195	0.0524131437	0.0524098495	0.0524043593	0.0523966733	0.0523867919	0.0523747155	0.0523604445	0.0523439796	0.0523253215	0.052304471	0.0522814288	0.052256196	0.0522287737	0.052199163	0.0521673651	0.0521333814	0.0520972133	0.0520588623	0.05201833	0.0519756181	0.0519307284	0.0158975064	0.0081324198	0.0409697967	0.0015913202	0.0092899409	0.0030955154	0.028989602	0.0299441912	0.0275167464	-0.0221469186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0105637	-0.145085	-0.0318167	0.00135505	0.000492919	0.000532639	0.0106417695	-0.1017801	-0.03532755	0.000552423	0.000492919	0.00012452	0.2062425195	0.0524111916	0.0524020413	0.0523867919	0.0523654453	0.0523380039	0.052304471	0.0522648503	0.0522191466	0.0521673651	0.052109512	0.0520455938	0.0519756181	0.051899593	0.0518175273	0.0517294306	0.0516353132	0.051535186	0.0514290606	0.0513169495	0.0511988656	0.0510748227	-0.0057873362	-0.0525169632	0.0089287523	0.0042892454	0.0106310687	0.0137467787	-0.0342457181	0.0188071412	-0.0093741925	0.0195369393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-7.47141e-05	-0.0179024	-0.0116735	0.000713084	-3.19211e-06	0.000327539	-0.0106384141	0.1271826	0.0201432	-0.000641966	-0.00049611111	-0.0002051	0.2251230696	0.0524082634	0.0523903296	0.0523604445	0.0523186149	0.0522648503	0.052199163	0.052121568	0.052032083	0.0519307284	0.0518175273	0.0516925056	0.0515556917	0.0514071169	0.051246815	0.0510748227	0.0508911792	0.0506959264	0.0504891087	0.0502707735	0.0500409704	0.0497997519	0.0185797443	0.0460550994	-0.0029319284	0.0205467122	-0.0012896173	-0.0175957532	0.0160138361	0.0028449023	0.0394956592	-0.0316970392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-5.53948e-05	-0.0821437	-0.0116717	0.001242	-3.19211e-06	0.000148807	1.93193e-05	-0.0642413	1.79999999999798e-06	0.000528916	0	-0.000178732	0.0996448193	0.0524043593	0.0523747155	0.0523253215	0.052256196	0.0521673651	0.0520588623	0.0519307284	0.0517830118	0.0516157682	0.0514290606	0.0512229596	0.0509975427	0.050752895	0.0504891087	0.0502062834	0.0499045256	0.0495839492	0.049244675	0.048886831	0.0485105521	0.0481159803	0.0191276376	-0.0429926844	0.0139527303	-0.0135518978	0.0438398922	0.018548489	-0.0536212656	0.0306830255	-0.01061653	0.0447433639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0112112	-0.0692293	-0.0521647	0.00101685	0.000562742	0.000317407	0.0112665948	0.0129144	-0.040493	-0.00022515	0.00056593411	0.0001686	0.1126582003	0.0523994793	0.0523552	0.0522814288	0.0521782074	0.0520455938	0.0518836628	0.0516925056	0.0514722298	0.0512229596	0.0509448353	0.0506380137	0.0503026675	0.0499389857	0.0495471731	0.0491274505	0.0486800542	0.0482052363	0.0477032642	0.0471744208	0.0466190039	0.0460373263	-0.0151242318	-0.0289468283	-0.0030707269	0.0240979075	-0.0273744436	-0.0251010981	0.0134710254	-0.0363249898	0.021807409	0.0173469983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00221646	-0.054452	-0.00757044	0.00119739	0.000507393	8.61633e-05	-0.00899474	0.0147773	0.04459426	0.000180540000000001	-5.53489999999999e-05	-0.0002312437	0.091722935	0.0523936235	0.0523317845	0.0522287737	0.0520846721	0.051899593	0.051673682	0.0514071169	0.0511001074	0.050752895	0.0503657529	0.0499389857	0.0494729291	0.0489679499	0.0484244452	0.0478428428	0.0472236001	0.0465672044	0.0458741721	0.0451450484	0.0443804069	0.0435808493	0.0384292644	0.0314333301	0.017102234	-0.0117698181	0.0279004622	-0.0035896361	0.0073287129	0.0404755986	0.008555064	-0.0099741412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100445	-0.0845161	-0.0375067	0.00133587	0.000507393	8.61633e-05	0.00782804	-0.0300641	-0.02993626	0.000138479999999999	0	0	0.0747524	0.0523867919	0.052304471	0.0521673651	0.0519756181	0.0517294306	0.0514290606	0.0510748227	0.050667088	0.0502062834	0.0496928916	0.0491274505	0.0485105521	0.0478428428	0.0471250218	0.0463578411	0.0455421041	0.0446786654	0.0437684292	0.042812349	0.0418114263	0.0407667093	-0.0060583233	-0.0538403047	-0.0124400873	0.0203920929	0.0333163938	-0.017356452	-0.0112887816	-0.0239119143	0.0084242699	0.0108973212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-6.54157e-05	-0.0462534	0.00429659	0.00160865	0.000507393	8.61633e-05	-0.0101099157	0.0382627	0.04180329	0.00027278	0	0	0.1038149057	0.0523789848	0.0522732612	0.0520972133	0.0518510778	0.051535186	0.0511499628	0.0506959264	0.0501736876	0.0495839492	0.0489275043	0.0482052363	0.0474181167	0.0465672044	0.0456536443	0.0446786654	0.0436435792	0.0425497785	0.0413987346	0.040191996	0.0389311863	0.0376180017	0.0341987208	0.0195395561	0.0005108502	0.0073340299	-0.0157733955	-0.0010897317	-0.016327649	0.0230705954	-0.0024958785	0.0006414075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
