"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0159006	-0.0604746	-0.179788	0.00258159	0.000501925	0	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	0.0289821915	0.0024319822	0.0193683731	0.0295425682	0.065542731	0.0260960466	0.0504667248	0.0850054958	0.0560290103	0.010184131	0	0	0	0	0	0	0	0
-0.0160164	-0.0513472	-0.123745	0.00300595	0	0.000110541	-0.000115799999999999	0.0091274	0.056043	0.00042436	-0.000501925	0.000110541	0.1171275	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	0.0298527199	-0.0158753571	0.0760030532	-0.0246032752	-0.0027052913	0.0618099768	0.0302669235	-0.0271142255	0.029255435	0.0551588351	0	0	0	0	0	0	0	0
-0.0160086	-0.0314121	-0.105691	0.00197515	0	0	7.79999999999878e-06	0.0199351	0.018054	-0.0010308	0	-0.000110541	0.09506395	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	0.0275094179	0.0386470163	-0.023587631	-0.0414061272	-0.0317950587	-0.0206301408	-0.0200397445	-0.0303076646	0.0143105735	0.0625399759	0	0	0	0	0	0	0	0
-0.0160086	-0.0512427	-0.0906869	0.00186597	0	0	0	-0.0198306	0.0150041	-0.00010918	0	0	0.0402937	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	0.0121281665	0.0216155079	-0.0414886079	0.0412053977	0.0070749429	-0.0508150017	-0.0031249777	-0.016444187	-0.0012977274	-0.0481430581	0	0	0	0	0	0	0	0
-0.0135531	-0.0512	-0.0709884	0.0013656	0.000195324	0	0.0024555	4.26999999999997e-05	0.0196985	-0.00050037	0.000195324	0	0.0569814	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	0.0052987837	-0.0049711549	0.0150427441	0.0359861497	0.0692658739	0.0012107348	0.0447146006	0.018801314	0.0066236081	-0.0300264294	0	0	0	0	0	0	0	0
-0.0204781	-0.0447734	-0.0638166	0.000813779	0.000362578	0	-0.006925	0.0064266	0.00717180000000001	-0.000551821	0.000167254	0	0.05647715	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	-0.0051906197	-0.0395099334	0.0638589712	-0.0240005283	-0.0041392255	0.0490369154	0.0286713346	0.0115992842	0.0188738506	0.0323147996	0	0	0	0	0	0	0	0
-0.0159859	-0.0170939	-0.0510021	0.000663539	0.000671811	0	0.0044922	0.0276795	0.0128145	-0.00015024	0.000309233	0	0.06795985	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	0.0010504512	0.0101412448	-0.0037234352	-0.0468692931	-0.0371032513	0.0131378061	-0.0458151895	-0.0112348487	-0.0070721832	0.0223607533	0	0	0	0	0	0	0	0
-0.016011	-0.0511656	-0.0156371	-4.3909e-05	0.000617817	8.65701e-05	-2.51000000000001e-05	-0.0340717	0.035365	-0.000707448	-5.3994e-05	8.65701e-05	0.111862405	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	-0.0115213788	0.0055352119	-0.0534395843	-0.0026002882	-0.0025455115	-0.0411835632	-0.0517671821	-0.0038544475	0.0019532948	-0.0190305698	0	0	0	0	0	0	0	0
-0.022795	-0.0341581	-0.0307625	-3.21091e-05	0.000562685	0	-0.006784	0.0170075	-0.0151254	1.17999e-05	-5.51319999999999e-05	-8.65701e-05	0.046592	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	-0.0193451002	-0.0177733121	0.0034577916	0.0163263184	0.0697244868	-0.0192837767	0.0193746326	0.0366279032	0.0094714549	-0.0261483464	0	0	0	0	0	0	0	0
-0.0159842	-0.0389838	-0.0244875	2.00823e-05	0.000625733	0	0.0068108	-0.0048257	0.006275	5.21914e-05	6.3048e-05	0	0.02367347	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	-0.0106730378	-0.0357153899	0.0484085347	-0.0228473266	-0.0037516999	0.035698286	0.041802645	0.0080301233	0.0280310972	0.0322594351	0	0	0	0	0	0	0	0
