"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0736627	-0.0538555	-0.191753	0.00624093	0.000395255	0.000504876	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	0.022115768	0.0169141698	-0.0639234871	0.0097248092	-0.0261100844	0.0126712751	-0.0287994287	0.0024034864	0.0508620774	0.0307604829	0	0	0	0	0
0.0867533	0.00396233	-0.116083	0.00527432	0.000486724	0.000454679	0.0130906	0.05781783	0.07567	-0.00096661	9.1469e-05	-5.0197e-05	0.20199223	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	0.0338948307	-0.065713913	0.002418373	-0.0099250979	-0.0239780363	-0.0567916637	0.0201100115	0.0504677034	0.0067916805	-0.0214383987	0	0	0	0	0
0.0868106	-0.0213237	-0.11341	0.00510443	0.000777241	0.00025234	5.73000000000101e-05	-0.02528603	0.00267299999999999	-0.00016989	0.000290517	-0.000202339	0.06115363	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	0.0368680449	0.0327043926	-0.0076584223	-0.0652680549	0.0252589107	0.0421240434	0.0379519251	-0.0095095052	0.0050818327	0.0011848741	0	0	0	0	0
0.0678169	0.00239496	-0.0682167	0.00426556	0.000469323	3.82254e-05	-0.0189937	0.02371866	0.0451933	-0.00083887	-0.000307918	-0.0002141146	0.15595079	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	-0.0071877608	0.0093291901	-0.0725608917	0.0158381156	-0.0044818664	0.03662346	-0.0193004592	-0.0298891205	0.0130008687	-0.0178563474	0	0	0	0	0
0.0751514	-0.0303728	-0.114725	0.00440628	0.000319857	0.000235746	0.00733449999999999	-0.03276776	-0.0465083	0.00014072	-0.000149466	0.0001975206	0.11099589	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	0.0200731354	-0.0439773491	-0.0074544636	0.001481308	-0.0382729654	-0.0392753699	-0.0213677365	0.0056019152	0.0282231225	-0.0095909808	0	0	0	0	0
0.0643921	-0.00328063	-0.0950942	0.00356275	0.000319857	0.000113097	-0.0107593	0.02709217	0.0196308	-0.00084353	0	-0.000122649	0.10579122	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	0.0119511246	-0.0380361449	-0.0124100714	-0.0422661189	0.0263180404	-0.0304647216	-0.0019918851	0.0402710797	-0.0081838376	0.0261156726	0	0	0	0	0
0.0342023	0.0159936	-0.114095	0.00255889	0.000319857	-0.000121624	-0.0301898	0.01927423	-0.0190008	-0.00100386	0	-0.000234721	0.13039388	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	0.0023083303	0.010133535	-0.0199837564	-0.0192110391	0.0170071547	0.0162211005	0.021826663	0.0118495593	0.0060906709	0.038088471	0	0	0	0	0
0.0342023	-0.0257615	-0.0926669	0.00287036	0.000319857	-0.000121624	0	-0.0417551	0.0214281	0.00031147	0	0	0.0787567	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	-0.0013951755	0.0164480656	-0.0160336659	-0.0037382458	-0.0170633749	0.0133678719	0.0468866982	-0.0053579991	-0.004214903	0.0045649294	0	0	0	0	0
0.0341905	-0.0419397	-0.0674675	0.00270967	0.000319857	-5.00445e-05	-1.18000000000062e-05	-0.0161782	0.0251994	-0.00016069	0	7.15795000000001e-05	0.053002875	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	-0.0105389977	-0.0258678106	0.0054073379	-0.0122240843	-0.0437775892	0.0139373094	-0.0287631996	-0.0048034175	0.0478959606	-0.0465890703	0	0	0	0	0
0.0179234	-0.0305024	-0.0857904	0.00195597	0.000319857	-0.000190645	-0.0162671	0.0114373	-0.0183229	-0.0007537	0	-0.0001406005	0.090742325	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	-0.0277497282	-0.0136478236	-0.0320553685	-0.0243443701	0.0311498588	-0.0157172245	0.0019307052	-0.0145721434	0.0110051157	0.006268897	0	0	0	0	0
