"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0983428	-0.000319108	0.174297	0.000635532	0.00114794	-0.00270025	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	0.0318979986	-0.0270025794	-0.0205132765	0.0354672592	-0.0264170059	-0.0177281219	-0.0368012512	0.0772283374	0.0610962964	-0.0639863905	0	0	0	0	0	0	0	0	0	0
-0.0957422	-0.027909	0.096536	0.000818649	0.000503266	-0.00296491	0.00260059999999995	-0.027589892	-0.077761	0.000183117	-0.000644674	-0.00026466	0.162574042	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	0.0302639244	-0.0402091338	-0.0283539668	0.005519479	-0.0171129974	-0.0065686753	0.0148829737	0.0510050292	0.0152245493	-0.0133697246	0	0	0	0	0	0	0	0	0	0
-0.075482	-0.0458975	0.0733524	0.000827385	0.00045204	-0.00286431	0.0202602	-0.0179885	-0.0231836	8.73600000000018e-06	-5.12259999999999e-05	0.0001006	0.0694604	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	0.0163066628	-0.029374905	-0.0167727899	0.0094283955	-0.0088335547	-0.0102098658	0.0194880951	0.0228928936	0.0099995956	-0.0048023845	0	0	0	0	0	0	0	0	0	0
-0.0547928	-0.0369944	0.0387741	0.000285624	0.000568965	-0.00283686	0.0206892	0.0089031	-0.0345783	-0.000541761	0.000116925	2.745e-05	0.0984774	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	0.0114936983	-0.0257013952	-0.0101651618	-6.67496e-05	-0.009044839	-0.0063244454	0.0105099135	0.0099847992	-0.0146875151	-0.0179280909	0	0	0	0	0	0	0	0	0	0
-0.0614216	-0.0444735	0.0534544	0.000953245	0.000316916	-0.00286515	-0.0066288	-0.0074791	0.0146803	0.000667621	-0.000252049	-2.82899999999998e-05	0.0761862	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	0.0212960443	-0.0256999465	-0.0090782644	0.0118795172	-0.0190473485	-0.0177022927	0.0416040935	-0.0019062949	0.0088152338	0.0072991298	0	0	0	0	0	0	0	0	0	0
-0.0435116	-0.0279207	0.0329553	-0.000248031	0.000873978	-0.00270025	0.01791	0.0165528	-0.0204991	-0.001201276	0.000557062	0.0001649	0.1511238	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	-0.0033277941	-0.0169494424	-0.0089193315	0.0064838857	-0.0060489513	-0.0034688235	0.004036326	-0.0218734608	-0.0077749847	-0.0113441977	0	0	0	0	0	0	0	0	0	0
-0.0517545	-0.0440513	0.0412707	0.00029499	0.000537126	-0.00275256	-0.0082429	-0.0161306	0.00831539999999999	0.000543021	-0.000336852	-5.23099999999999e-05	0.07929805	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	0.0156866818	-0.0348994467	0.0037942983	0.0073328196	-0.0067275209	0.0126032948	0.0285391372	-0.00907544	0.0058794174	0.0151835805	0	0	0	0	0	0	0	0	0	0
-0.0445441	-0.0130041	0.0956808	-2.75781e-05	0.00067242	-0.00270025	0.0072104	0.0310472	0.0544101	-0.0003225681	0.000135294	5.23099999999999e-05	0.118176305	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	0.0198609488	-0.0245677193	0.015820138	0.0376901486	-0.0202926375	0.0123768353	0.0109960689	0.023844805	0.0061277205	-0.0425790931	0	0	0	0	0	0	0	0	0	0
-0.0494018	-0.0278651	0.106348	0.000222913	0.000591777	-0.00238604	-0.00485770000000001	-0.014861	0.0106672	0.0002504911	-8.0643e-05	0.00031421	0.062653105	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	0.0320443269	-0.0323262169	0.0228225453	0.0512120832	-0.0166774414	0.010416281	0.0225893907	0.0489209249	0.0152101998	-0.0362711772	0	0	0	0	0	0	0	0	0	0
-0.0518583	-0.0278992	0.0952208	-0.000211379	0.000622381	-0.00238497	-0.00245650000000001	-3.41000000000022e-05	-0.0111272	-0.000434292	3.0604e-05	1.06999999999972e-06	0.0369161	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	0.0270590133	-0.0284509124	0.0208666097	0.0471106153	-0.0253471322	-0.0015318734	0.0267803903	0.039262991	0.0064529166	-0.033466063	0	0	0	0	0	0	0	0	0	0
-0.0493478	-0.0321787	0.0460096	-9.27221e-05	0.000547676	-0.00230422	0.00251050000000001	-0.0042795	-0.0492112	0.0001186569	-7.4705e-05	8.07500000000001e-05	0.069706795	0.0512842283	0.051138904	0.0508970017	0.0505589784	0.0501254723	0.0495973023	0.0489754657	0.048261137	0.0474556651	0.0465605712	0.0455775458	0.0445084453	0.0433552888	0.042120254	0.0408056734	0.0394140296	0.0379479508	0.0364102058	0.0348036986	0.0331314631	0.0313966575	0.0296025581	0.0125587665	-0.0147919414	0.0155837244	0.0219529862	0.0041173658	0.0093417818	0.0532055777	-0.0079860328	0.0044039664	0.0244051774	0	0	0	0	0	0	0	0	0	0
-0.0493441	-0.039111	0.0633493	-9.27221e-05	0.000443369	-0.00235768	3.70000000000925e-06	-0.0069323	0.0173397	0	-0.000104307	-5.346e-05	0.03216405	0.0512745577	0.0511002618	0.0508102074	0.0504050515	0.0498857119	0.0492533652	0.0485094437	0.0476556328	0.0466938665	0.0456263236	0.0444554224	0.0431838154	0.0418143832	0.0403502279	0.0387946664	0.0371512224	0.035423619	0.0336157698	0.0317317699	0.0297758875	0.027752553	0.0256663501	0.017699487	-0.0338087199	-0.015895502	0.014899722	-0.0201048001	-0.0410921893	0.0166681833	0.0211377457	-0.0134797367	-0.0064271162	0	0	0	0	0	0	0	0	0	0
-0.0244741	-0.0150794	-0.0371554	0.000320351	0	-0.00164007	0.02487	0.0240316	-0.1005047	0.0004130731	-0.000443369	0.00071761	0.228108905	0.0512640087	0.0510581178	0.0507155786	0.050237308	0.0496245858	0.048879052	0.0480027017	0.0469978805	0.0458672776	0.0446139188	0.0432411585	0.0417526707	0.040152439	0.0384447462	0.0366341627	0.0347255342	0.0327239687	0.0306348232	0.0284636888	0.0262163763	0.0238989001	0.0215174627	-0.0092129024	-0.0010519225	-0.0082627989	-0.0021142731	-0.0175817879	-0.0194511482	0.035115388	-0.0430919171	0.0309031653	0.0383208511	0	0	0	0	0	0	0	0	0	0
-0.0184266	-0.110445	-0.19403	0.000340536	-0.000435768	3.36843e-05	0.0060475	-0.0953656	-0.1568746	2.0185e-05	-0.000435768	0.0016737543	0.364773065	0.0512525814	0.0510124748	0.0506131302	0.0500557939	0.0493422058	0.0484745935	0.0474556651	0.0462886013	0.0449770452	0.0435250908	0.0419372706	0.040218541	0.038374267	0.0364102058	0.0343324881	0.0321475998	0.029862361	0.0274839053	0.0250196571	0.0224773087	0.0198647963	0.0171902747	-0.0314810649	0.0262160831	0.0247265683	-0.0707819196	0.0163223268	0.0157603842	0.0404377136	-0.0426594682	-0.0195897186	0.1167978365	0	0	0	0	0	0	0	0	0	0
-0.0205066	-0.0389206	-0.0728031	0.00116408	-0.000435768	-0.000346106	-0.00208	0.0715244	0.1212269	0.000823544	0	-0.0003797903	0.254998015	0.051240276	0.050963336	0.0505028777	0.049860559	0.049038693	0.0480402391	0.0468687929	0.0455285727	0.0440244045	0.042361705	0.0405464614	0.0385852104	0.0364850145	0.0342534364	0.0318985121	0.0294287216	0.0268529586	0.0241804983	0.0214209644	0.0185842938	0.0156807013	0.0127206428	-0.0094193188	0.0100811136	-0.0100660257	-0.0341078961	0.0468229518	-0.0083698906	-0.0433698602	-0.0334145401	0.005567285	0.0178628676	0	0	0	0	0	0	0	0	0	0
-0.00914738	0.00663119	-0.0607668	0.000348468	-0.000435768	-0.000211062	0.01135922	0.04555179	0.0120363	-0.000815612	0	0.000135044	0.11648011	0.0512270927	0.0509107048	0.0503848382	0.0496516568	0.0487141772	0.0475762569	0.0462425779	0.044718628	0.0430106775	0.041125754	0.0390716134	0.0368567075	0.0344901501	0.0319816784	0.0293416141	0.0265808199	0.0237106555	0.0207429306	0.0176898562	0.0145639947	0.0113782077	0.0081456036	-0.0158553117	0.0269021867	-0.0077695381	-0.0331325001	0.0361104041	0.0333394348	-0.0239915044	-0.053863581	0.0029162343	-0.0122083833	0	0	0	0	0	0	0	0	0	0
0.00487925	-0.0104276	-0.0958985	-8.74533e-05	-0.000435768	-0.000211062	0.01402663	-0.01705879	-0.0351317	-0.0004359213	0	0	0.088013185	0.0512130319	0.0508545847	0.05025903	0.0494291445	0.0483687975	0.0470829328	0.0455775458	0.0438596552	0.0419372706	0.0398193552	0.0375157835	0.0350372959	0.0323954483	0.0296025581	0.0266716472	0.0236163807	0.0204510037	0.0171902747	0.0138493968	0.0104439465	0.0069898018	0.0035030673	-0.0207750868	0.021560162	0.0216364057	-0.015544105	0.039648229	0.0615746792	-0.0163672754	-0.0339018005	-0.01169814	-0.0063315246	0	0	0	0	0	0	0	0	0	0
-0.0127834	-0.0225778	-0.0254427	0.000728515	-0.000309487	-0.000211062	-0.01766265	-0.0121502	0.0704558	0.0008159683	0.000126281	0	0.147381115	0.0511980936	0.0507949796	0.0501254723	0.0491930831	0.0480027017	0.0465605712	0.0448742547	0.042952596	0.0408056734	0.0384447462	0.0358821964	0.0331314631	0.0302069725	0.0271240621	0.0238989001	0.0205484008	0.0170901359	0.013542242	0.0099233262	0.0062523676	0.0025486187	-0.0011684964	0.0010567722	0.0136117181	0.0223554858	0.006248522	0.0347235125	0.0616763957	0.0092092944	-0.012697688	-0.005625404	-0.0072090167	0	0	0	0	0	0	0	0	0	0
0.00487924	0.00507197	-0.0254707	0.000235009	-0.000435768	-0.000211062	0.01766264	0.02764977	-2.79999999999968e-05	-0.000493506	-0.000126281	0	0.07632976	0.0511822782	0.0507318935	0.0499841859	0.0489435374	0.0476160468	0.0460094942	0.044133295	0.041998445	0.039617456	0.037004282	0.034174238	0.03114391	0.0279310578	0.0245545108	0.0210340579	0.0173903312	0.0136446855	0.0098190728	0.0059359137	0.0020179662	-0.001911808	-0.0058303776	-0.0054438252	0.0165927201	0.0195972733	0.0105716568	0.0117245656	0.0267226601	0.0235789091	-0.0115181151	-0.005777132	0.0051598881	0	0	0	0	0	0	0	0	0	0
0.00487925	0.0050841	-0.0387645	-0.00051879	-0.000435768	-0.000211062	9.99999999994061e-09	1.213e-05	-0.0132938	-0.000753799	0	0	0.05099589	0.0511655859	0.0506653309	0.0498351925	0.0486805757	0.0472089983	0.0454300417	0.0433552888	0.0409982483	0.038374267	0.0355004298	0.0323954483	0.029079539	0.025574292	0.0219025301	0.0180881602	0.0141560177	0.0101317049	0.0060414244	0.001911808	-0.0022302563	-0.0063577993	-0.0104439465	-0.0087758011	0.0192711554	0.0384113946	0.0067364682	0.0162916343	0.0444996195	0.0117394489	-0.0084519015	-0.0310371028	-0.0061114497	0	0	0	0	0	0	0	0	0	0
0.00488312	0.00301891	0.0133035	0.000125049	8.5536e-05	-0.000211062	3.87000000000044e-06	-0.00206519	0.052068	0.000643839	0.000521304	0	0.11239421	0.051148017	0.0505952962	0.049678515	0.0484042702	0.0467817305	0.044822571	0.042540889	0.0399531023	0.0370778316	0.0339357659	0.030549514	0.026943442	0.0231434973	0.0191770227	0.0150725591	0.0108596403	0.0065685806	0.0022302563	-0.0021241158	-0.0064632038	-0.0107557855	-0.0149709736	0.0057905447	0.0131609688	0.0290426098	0.0211065206	0.0458189194	0.0325723034	-0.022535885	0.0191769064	7.76486e-05	0.0132867906	0	0	0	0	0	0	0	0	0	0
0.00490581	0.0109751	-0.0580558	-0.000958005	-8.50314e-05	9.58778e-05	2.26899999999997e-05	0.00795619	-0.0713593	-0.001083054	-0.0001705674	0.0003069398	0.15736624	0.0511295719	0.0505217943	0.0495141777	0.0481146965	0.0463344264	0.0441874568	0.0416907793	0.0388641531	0.0357299485	0.0323129704	0.0286402612	0.0247408876	0.0206457099	0.0163871381	0.0119988754	0.0075156513	0.002972947	-0.0015932859	-0.0061469092	-0.0106518847	-0.0150725591	-0.0193739464	-0.0236594869	0.0168259079	0.0277743124	-0.0097605595	0.0335889273	0.0236913447	-0.0738167638	0.0254531395	-0.0366287473	0.0224517336	0	0	0	0	0	0	0	0	0	0
-0.0130185	-0.00222262	0.000372207	0.000128125	7.63141e-05	-0.000211062	-0.01792431	-0.01319772	0.058428007	0.00108613	0.0001613455	-0.0003069398	0.167270802	0.0511102507	0.0504448302	0.0493422058	0.047811934	0.0458672776	0.0435250908	0.0408056734	0.0377325944	0.0343324881	0.0306348232	0.0266716472	0.0224773087	0.0180881602	0.013542242	0.0088789537	0.0041387117	-0.0006374004	-0.0054079881	-0.0101317049	-0.0147676106	-0.0192755259	-0.0236163807	0.0034902409	0.0055055899	0.0073219534	-0.0005929639	0.0308469684	-0.0204981582	-0.0818278388	0.0600761821	0.0129062084	0.030311056	0	0	0	0	0	0	0	0	0	0
0.0237156	0.00512385	-0.03323	-0.000720125	0.00031311	7.53703e-05	0.0367341	0.00734647	-0.033602207	-0.00084825	0.0002367959	0.0002864323	0.146256687	0.051090054	0.0503644092	0.0491626259	0.0474960658	0.0453804842	0.0428358815	0.0398863142	0.0365596669	0.0328873894	0.0289041989	0.024647752	0.0201582885	0.0154782512	0.0106518847	0.0057248166	0.0007436268	-0.004244593	-0.0091926851	-0.0140538708	-0.018782193	-0.0233329509	-0.0276631221	-0.0210456851	0.0225765353	-0.0011023365	-0.0094430044	-0.0248342765	-0.0483747648	-0.0416574614	0.025561003	-0.0102810029	0.0282872674	0	0	0	0	0	0	0	0	0	0
