"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0814995	-0.00282081	-0.179379	0.0030799	0.000854645	0.000284231	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0029563234	0.035098586	-0.0315303795	0.0500945684	-0.0288397723	-0.0402206331	-0.0590372775	-0.0089930701	-0.0286158722	0.0338977687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0803776	-0.0166	-0.180054	0.00244227	0.000516742	0.000537666	-0.0011219	-0.01377919	-0.000675000000000009	-0.00063763	-0.000337903	0.000253435	0.07702449	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0130284707	0.0523941329	-0.0386607351	0.000495797	-0.0876995741	0.0289396829	-0.0381333541	0.0521055863	-0.0078047307	0.0214209477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0646276	-0.0359644	-0.134846	0.00204823	0.00108907	0.000537666	-0.01575	-0.0193644	0.045208	-0.00039404	0.000572328	0	0.1286408	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0067570149	0.0560982052	-0.0378458745	0.0610812054	-0.0468069571	0.0459532909	-0.0636273924	-0.0277469763	0.0553666092	0.0101027429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0535019	0.00116682	-0.139822	0.00277043	0.00149411	0.000744723	-0.0111257	0.03713122	-0.00497600000000001	0.0007222	0.00040504	0.000207057	0.11994777	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.010221586	0.0420862701	-0.0414347127	0.0449629565	0.0130978557	0.0390510967	0.0187849357	-0.0085902509	-0.0055669039	0.0014332097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0479156	-0.00875921	-0.135577	0.00259096	0.00127101	0.00108908	-0.0055863	-0.00992603	0.004245	-0.00017947	-0.0002231	0.000344357	0.05710368	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0049144341	0.027076274	-0.0351206356	-0.0294350692	-0.080702013	-0.0316958599	0.0287579247	-0.0225755091	0.017094387	-0.0084753655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0940105	-0.00746837	-0.110235	0.00297562	0.000516742	0.00119102	0.0460949	0.00129084	0.025342	0.00038466	-0.000754268	0.00010194	0.13477114	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0018342973	0.0122277343	-0.04047283	0.0603838611	0.0153033487	-0.0421520226	0.0049969361	0.0232047093	0.0153694121	-0.0267557559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0796177	-0.000469269	-0.0943237	0.00262872	0.000516742	0.00117227	-0.0143928	0.006999101	0.0159113	-0.0003469	0	-1.87499999999999e-05	0.055585701	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.009035309	0.0076892371	-0.0271750222	-0.0306951628	-0.0507854379	-0.0659905875	0.0042034249	0.0359799577	0.0604029331	0.0015228227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0769925	-0.0139501	-0.0927755	0.00163091	0.000818778	0.000648136	-0.00262520000000001	-0.013480831	0.0015482	-0.00099781	0.000302036	-0.000524134000000001	0.108853231	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0100498283	0.0300163006	-0.0246109565	0.0039280637	-0.0264090823	-0.002103079	-0.0246039423	-0.0026533959	0.0091605418	-0.0144986591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0645092	-0.00825216	-0.0928232	0.00141307	0.000723847	0.000192381	-0.0124833	0.00569794	-4.76999999999977e-05	-0.000217839999999999	-9.4931e-05	-0.000455755	0.05665524	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0162284492	0.0333991277	-0.0236484887	-0.0200999696	-0.0191041111	0.0230852567	0.0346692354	0.0040864185	-0.001361415	0.0429538417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0544945	-0.00542616	-0.0689394	0.0012875	0.000516742	-6.38054e-05	-0.0100147	0.002826	0.0238838	-0.000125570000000001	-0.000207105	-0.0002561864	0.06616757	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0123531093	0.0336518412	-0.0170355952	-0.0356854121	-0.0553958068	0.0260647402	-0.0201105009	0.0216167199	0.0188393149	-0.0006625346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
