"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0111615	-0.0184481	-0.193016	0.00399053	0.00360231	-1.69407e-21	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	-0.0059628556	-0.0337522377	0.0391679239	0.0239586225	-0.0345138202	0.011595755	-0.048319009	-0.0329459582	-0.0273295471	0	0	0	0	0	0
0.000904865	-0.0684188	-0.231591	0.00476516	0.00346764	-0.000521795	-0.010256635	-0.0499707	-0.038575	0.00077463	-0.00013467	-0.000521795	0.170357085	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	0.0311368098	-0.0659809699	0.0251274523	0.0463599449	0.0367094734	0.0294105045	0.0059634062	-0.0714138466	0.0837442186	0	0	0	0	0	0
0.00431168	-0.0658239	-0.141712	0.0035816	0.00278522	-0.000115321	0.003406815	0.00259490000000001	0.089879	-0.00118356	-0.00068242	0.000406474	0.209503415	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	-0.0283622379	-0.0368207476	0.0193941259	0.0292416317	-0.0084922776	-0.0102257698	-0.0487178457	-0.019344675	0.0259381547	0	0	0	0	0	0
0.000676084	-0.0285297	-0.0889381	0.00360919	0.00235248	-0.000521796	-0.003635596	0.0372942	0.0527739	2.75899999999997e-05	-0.00043274	-0.000406475	0.137043946	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	-0.0345413393	0.0183772063	-0.0019174329	-0.0213844424	-0.0465224309	-0.0138071403	-0.0187258235	0.0513417081	-0.0025512778	0	0	0	0	0	0
-0.0101183	-0.0284731	-0.0725872	0.00313914	0.00218219	-0.000218979	-0.010794384	5.66000000000004e-05	0.0163509	-0.00047005	-0.00017029	0.000302817	0.074359734	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	-0.0160667604	0.0337249543	-0.0164703687	-0.0098026954	-0.0224361053	0.0100400421	0.0111472527	0.036051837	0.0193177902	0	0	0	0	0	0
-0.0225199	-0.0289233	-0.178278	0.00511328	0.00104728	-0.000521796	-0.0124016	-0.000450199999999998	-0.1056908	0.00197414	-0.00113491	-0.000302817	0.28913595	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	-0.0095248328	0.0434350512	-0.0045279388	0.0025042527	-0.0179171728	0.0351275235	0.0068722231	0.0167541327	0.062603158	0	0	0	0	0	0
-0.0225964	0.0305282	-0.084454	0.00298957	0.00103758	-0.000313623	-7.65000000000002e-05	0.0594515	0.093824	-0.00212371	-9.70000000000007e-06	0.000208173	0.27043115	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	-0.0325790058	0.0316236996	0.0185072644	-0.0007404453	-0.0264447262	-0.000218101	-0.0017488395	0.0135478865	0.0174915451	0	0	0	0	0	0
-0.0332887	0.0159188	-0.0557543	0.00260609	0.000899098	-0.000262786	-0.0106923	-0.0146094	0.0286997	-0.00038348	-0.000138482	5.0837e-05	0.08264135	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	-0.0242699786	0.0092539156	0.0114281696	-0.0073450919	-0.0188168761	-0.0250630321	0.0191371422	-0.0155049757	0.0157452113	0	0	0	0	0	0
-0.0226655	0.0159364	-0.0338303	0.00226812	0.000799822	-0.000227087	0.0106232	1.75999999999996e-05	0.021924	-0.00033797	-9.9276e-05	3.5699e-05	0.05621205	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	-0.0099165136	-0.039342643	-0.0324864103	0.011925671	0.0120539406	-0.037110929	0.066031567	-0.044386518	0.0054926201	0	0	0	0	0	0
0.00185994	0.00351795	-0.0395726	0.000939104	0.000883437	5.27306e-05	0.02452544	-0.01241845	-0.00574229999999999	-0.001329016	8.36150000000002e-05	0.0002798176	0.12730862	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	-0.0018448396	-0.0635372698	-0.0406016287	0.0217412046	0.024603012	-0.0315506575	0.0780486148	-0.06468702	0.0114219793	0	0	0	0	0	0
