"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0894014	-0.125036	-0.292627	-0.000459647	0.00145429	-0.000632985	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	-0.0600487917	-0.0177017233	-0.030280524	0.0255107394	0.0458956813	0.0290300724	-0.0724775557	-0.0932936458	0	0	0	0
-0.0837025	-0.105984	-0.255401	-0.000399234	0.00112166	-0.00064316	0.00569889999999999	0.019052	0.0372259999999999	6.0413e-05	-0.00033263	-1.01750000000001e-05	0.0821378000000001	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	-0.0473212834	-0.0266370631	0.0320917476	0.0384555489	0.0033052409	0.0686924638	-0.0602452208	-0.0633897795	0	0	0	0
-0.0895555	-0.0920399	-0.227367	-0.000214936	0.00103926	-0.000690775	-0.00585299999999997	0.0139441	0.028034	0.000184298	-8.24000000000001e-05	-4.7615e-05	0.06354675	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	0.0035712535	-0.0650897963	0.0240104572	-0.0046897516	-0.0523960035	0.0555139506	-0.0678043229	-0.0457418518	0	0	0	0
-0.0706051	-0.0957259	-0.225774	-1.58901e-05	0.000760516	-0.000759533	0.0189504	-0.003686	0.00159300000000004	0.0001990459	-0.000278744	-6.87579999999997e-05	0.051556795	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	-0.0160779611	-0.0279552732	-0.0352824354	-0.0049930222	-0.028832725	-0.0202612902	-0.0761525766	-0.0622089227	0	0	0	0
-0.0176094	-0.0993446	-0.260071	-0.0021348	0.0022333	-0.000536787	0.0529957	-0.00361870000000002	-0.034297	-0.0021189099	0.001472784	0.000222746	0.281633395	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	-0.0354497528	0.0225846795	-0.024925697	0.0501060159	0.0311043815	-0.004135839	-0.0869724944	0.0196496027	0	0	0	0
0.0104889	-0.125171	-0.290483	0.000207865	0.00240241	-0.000536787	0.0280983	-0.0258264	-0.030412	0.002342665	0.00016911	0	0.20992545	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	-0.0356839265	0.0095296662	0.002019979	0.0483336893	0.0063164103	0.020784635	-0.0963752865	0.0080668516	0	0	0	0
0.0265312	-0.12523	-0.267585	2.16961e-05	0.00234081	-2.18831e-05	0.0160423	-5.90000000000035e-05	0.022898	-0.0001861689	-6.15999999999998e-05	0.0005149039	0.07713294	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	0.0013081376	0.0088131263	0.0548562943	-0.008581737	0.0292627378	0.0728274857	-0.0466148752	0.0025929832	0	0	0	0
-0.00243362	-0.0723643	-0.114763	0.000316674	0.00135708	2.41432e-05	-0.02896482	0.0528657	0.152822	0.0002949779	-0.00098373	4.60263e-05	0.30088923	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	0.0806032632	-0.0029696806	0.0054311264	-0.0993948538	0.0088664911	0.0235072241	0.0459419693	-0.0475180636	0	0	0	0
-0.0234184	-0.0452471	-0.0854277	0.000298352	0.000860267	-0.000536787	-0.02098478	0.0271172	0.0293353	-1.8322e-05	-0.000496813000000001	-0.0005609302	0.13124054	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	0.0294824685	0.0790660924	-0.0435626098	-0.0510002229	0.0468439767	-0.057546443	0.0408794595	-0.0238663906	0	0	0	0
-0.0234325	-0.0326025	-0.0875104	0.000269573	0.000624488	-0.000486282	-1.40999999999961e-05	0.0126446	-0.00208270000000001	-2.8779e-05	-0.000235779	5.0505e-05	0.03049455	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	0.0305100226	0.0808647175	0.0273526136	-0.015938139	0.0534212786	0.0058295826	0.0531614157	0.0049878228	0	0	0	0
