"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"motion_outlier09"	"motion_outlier10"	"motion_outlier11"	"motion_outlier12"	"motion_outlier13"	"motion_outlier14"	"motion_outlier15"	"motion_outlier16"	"motion_outlier17"	"motion_outlier18"	"motion_outlier19"	"motion_outlier20"	"motion_outlier21"	"motion_outlier22"	"motion_outlier23"	"motion_outlier24"	"motion_outlier25"	"motion_outlier26"	"motion_outlier27"	"motion_outlier28"	"motion_outlier29"	"motion_outlier30"	"motion_outlier31"	"motion_outlier32"	"motion_outlier33"	"motion_outlier34"	"motion_outlier35"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.105899	-0.00768352	-0.625821	0.0133638	0.000285857	-0.00169223	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0364859831	-0.0947712267	0.0272427454	-0.02495363	0.0382749129	-0.0395326393	0.0644476766	0.0601774709	0.0043120352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.118941	0.06029	-0.574988	0.0192305	0.0028029	0.00129122	-0.013042	0.06797352	0.0508329999999999	0.0058667	0.002517043	0.00298345	0.70020817	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0924347989	-0.0973470666	-0.0058575648	0.0267724083	0.067947172	-0.0363256974	0.0266048727	0.0927204128	-0.0892541813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.119411	-0.00837343	-0.438656	0.0161302	0.00152395	0.000424908	-0.000469999999999984	-0.06866343	0.136332	-0.0031003	-0.00127895	-0.000866312	0.46774353	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0714047493	-0.0773596234	0.0048314436	-0.0089707333	0.0427194009	-0.0193293142	0.0371122242	0.0983075068	-0.0489275104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0551283	-0.0759311	-0.450093	0.00863507	0.00042566	-0.00108566	0.0642827	-0.06755767	-0.011437	-0.00749513	-0.00109829	-0.001510568	0.64847677	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0131258133	-0.0673459231	0.0063563479	-0.0578513096	0.0194185978	-0.0430337161	0.0360573053	0.045879262	0.0251763044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0548363	0.0448459	-0.291842	0.00653213	0.00132983	-0.00101778	0.000291999999999994	0.120777	0.158251	-0.00210294	0.00090417	6.788e-05	0.4330695	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0232312479	-0.0427089973	-0.0142795581	-0.0700321517	0.0078393835	-0.0477516621	-0.0336916739	0.0739793609	-0.0166504873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0300312	-0.00200598	-0.324566	0.00808798	0.00102132	-0.000878744	0.0248051	-0.04685188	-0.032724	0.00155585	-0.00030851	0.000139036	0.20455078	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0301468588	-0.0363659566	0.0170120342	-0.0592477754	0.0328158202	0.0014700081	0.0222313779	0.0379782197	-0.001940947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0349883	0.0275855	-0.225443	0.00660776	0.00083056	-0.00021599	-0.00495710000000001	0.02959148	0.099123	-0.00148022	-0.00019076	0.000662754	0.25035828	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0392625166	-0.003680136	0.0337200408	-0.0432185569	0.0335400729	0.0299675479	-0.0233619921	0.0346627846	-0.0119892081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0250338	0.0208053	-0.1725	0.00506477	0.000352414	-0.000323102	0.00995450000000001	-0.0067802	0.052943	-0.00154299	-0.000478146	-0.000107112	0.1760901	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0365484857	0.0195313032	0.0462588881	-0.0322842792	0.0241322879	0.052276494	-0.0236760775	0.0185841191	0.0035398397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0240328	0.0103823	-0.157985	0.00372363	0.000822015	-7.29736e-05	0.001001	-0.010423	0.014515	-0.00134114	0.000469601	0.0002501284	0.12898247	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0290205519	0.0278349453	0.0616611304	-0.0154041646	0.0365030278	0.0681769694	-0.033592942	0.002211082	0.0107636578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0137682	0.0160104	-0.165219	0.00307827	0.00155042	-0.000241503	0.0102646	0.0056281	-0.00723400000000002	-0.00064536	0.000728405	-0.0001685294	0.10024142	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0214577582	0.0417500788	0.0818673629	0.0108480243	0.0360907911	0.0773574384	-0.0387461108	-0.0210580199	0.0350470468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
